Tags per tag position (Median = 0, tags per genomic bp = 0.005)	Fraction of Positions
0	0.585722
1	0.358507
2	0.049874
3	0.005247
4	0.000513
5	0.000069
6	0.000023
7	0.000012
8	0.000006
9	0.000004
10	0.000003
11	0.000002
12	0.000001
13	0.000001
14	0.000002
15	0.000001
16	0.000001
17	0.000001
18	0.000002
19	0.000001
20	0.000001
21	0.000001
22	0.000001
23	0.000001
24	0.000001
25	0.000000
26	0.000000
27	0.000001
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
