Tag Length (Average tag length = 52.523733)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000075
36	0.000009
37	0.000008
38	0.000008
39	0.000006
40	0.000009
41	0.000010
42	0.000019
43	0.000039
44	0.000020
45	0.000009
46	0.000018
47	0.000118
48	0.000881
49	0.004148
50	0.020428
51	0.074967
52	0.240299
53	0.658930
