name	Unique Positions	Total Tags
genome	20346324	18397345.0
fragmentLengthEstimate=189		
peakSizeEstimate=189		
tagsPerBP=0.005945		
averageTagsPerPosition=0.566		
medianTagsPerPosition=0		
averageTagLength=52.521		
gsizeEstimate=3094470765		
averageFragmentGCcontent=-1.000		
1	1833541	1658217.0
10	995774	904956.0
11	977778	890813.0
12	970231	879163.0
13	531910	479793.0
14	649385	588045.0
15	690172	620115.0
16	843041	765959.0
17	888908	815779.0
18	425143	383840.0
19	797748	747097.0
2	1633899	1471127.0
20	520671	478824.0
21	237698	216435.0
22	424093	393005.0
3	1269802	1145491.0
4	959880	855905.0
5	1144124	1022581.0
6	1024495	925684.0
7	1111312	1002217.0
8	885504	796999.0
9	877889	789037.0
MT	2519	2338.0
X	637500	554670.0
Y	13307	9255.0
cmd=./makeTagDirectory /home/mali/NewDrive/Practice/ChIPAndRNA/chipseq/results/HOMER/Tags/SRR12490775 /home/mali/NewDrive/Practice/ChIPAndRNA/chipseq/results/bowtie/SRR12490775/SRR12490775_sorted.bam		
