CT1	CT2	CT3	RAS1	RAS2	RAS3
ENSG00000000003	750.41889908222	748.95194698508	662.525384995623	561.591947624535	711.640913784993	688.868377194924
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	624.384368241681	529.053530010634	602.64708736494	536.864803237805	485.808094694229	485.636432935546
ENSG00000000457	177.840970678016	128.426625762792	98.1954698817274	85.1163154830213	110.301667487865	164.039492579627
ENSG00000000460	140.975743468561	108.927604763463	142.005321040871	41.6284102413197	64.7762179569809	61.6487985414051
ENSG00000000938	0	0	0	0	3.16926191997702	0
ENSG00000000971	1098.98502267293	1028.49570731433	1025.69497385653	558.909639822298	529.614014188066	507.738880917099
ENSG00000001036	3379.40530507251	3793.10627985242	3735.76751360389	3996.97972768908	4013.88546701171	3387.9647297555
ENSG00000001084	675.980049335941	1001.24214773818	788.780361948996	496.042555959365	444.926856903672	403.702859311607
ENSG00000001167	250.378263278363	378.054803293199	359.089949215316	749.396702143112	778.337946749483	663.078203814722
ENSG00000001460	289.540707879491	345.505308038729	357.490587292605	259.50936720971	236.10273790794	295.031682603998
ENSG00000001461	2926.90148764925	3134.23818356785	2950.42482258846	1407.11913620506	1379.5788927789	1425.64503337592
ENSG00000001497	640.98641113958	623.904838465091	582.094256153213	552.011240589592	528.316181437556	702.346223110473
ENSG00000001561	8.3324089180256	12.5285799045812	8.10810620642931	9.40022540244753	0	7.89226982071076
ENSG00000001617	1958.6845384826	1806.93176363347	1846.73721544306	3266.32013799659	3710.5894879529	3555.43341513966
ENSG00000001626	1.24411873733892	20.2740339283781	18.0882121317189	142.013696540458	153.067345635675	158.014007515742
ENSG00000001629	677.315780561004	948.254220816453	677.195125928302	433.445244906397	424.826162995462	620.116891359496
ENSG00000001630	985.977202463814	964.026418587905	1011.77496536545	567.895020995651	669.383384014003	639.352899449662
ENSG00000001631	219.968122659595	286.812977069689	206.217715414067	137.737872134082	181.919973614928	85.7790422465406
