NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LMO7	LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646]	76	3.470733880996704	0.052031763	Yes	
row_1	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	116	3.2705554962158203	0.10188828	Yes	
row_2	PTPRB	protein tyrosine phosphatase receptor type B [Source:HGNC Symbol;Acc:HGNC:9665]	145	3.1548078060150146	0.15022385	Yes	
row_3	NECTIN3	nectin cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17664]	729	2.0908584594726562	0.16796872	Yes	
row_4	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	957	1.9081430435180664	0.19188575	Yes	
row_5	PTPRM	protein tyrosine phosphatase receptor type M [Source:HGNC Symbol;Acc:HGNC:9675]	1150	1.755651593208313	0.21431825	Yes	
row_6	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	1422	1.6100479364395142	0.2324872	Yes	
row_7	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	1534	1.5540071725845337	0.25383556	Yes	
row_8	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	1596	1.5282796621322632	0.2760498	Yes	
row_9	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	2144	1.301682472229004	0.28243756	Yes	
row_10	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	2228	1.2760733366012573	0.30017406	Yes	
row_11	CTNND1	catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]	2381	1.2210276126861572	0.31530797	Yes	
row_12	IQGAP1	IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]	2716	1.1111974716186523	0.3241269	Yes	
row_13	SSX2IP	SSX family member 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:16509]	3012	1.0354465246200562	0.33275554	Yes	
row_14	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	3228	0.9853499531745911	0.34263068	Yes	
row_15	FER	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]	3328	0.9648685455322266	0.35512415	Yes	
row_16	TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	3352	0.9584031701087952	0.36944112	Yes	
row_17	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	3526	0.922408401966095	0.3794011	Yes	
row_18	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	3551	0.9162507653236389	0.39303747	Yes	
row_19	WASL	WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735]	3832	0.8590778112411499	0.39930403	Yes	
row_20	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	4293	0.7809062600135803	0.3997984	Yes	
row_21	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	4384	0.7630569338798523	0.40938234	Yes	
row_22	CTNNA1	catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]	4782	0.6919162273406982	0.41008818	Yes	
row_23	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	5117	0.6310878396034241	0.41144335	Yes	
row_24	FGFR1	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	5145	0.6250336170196533	0.42047656	Yes	
row_25	WASF3	WASP family member 3 [Source:HGNC Symbol;Acc:HGNC:12734]	5366	0.5817506909370422	0.4239508	Yes	
row_26	PARD3	par-3 family cell polarity regulator [Source:HGNC Symbol;Acc:HGNC:16051]	5613	0.5554776191711426	0.42635834	Yes	
row_27	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	6361	0.5111551284790039	0.41539335	Yes	
row_28	YES1	YES proto-oncogene 1, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12841]	6403	0.5083640217781067	0.42225838	Yes	
row_29	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	6591	0.48864248394966125	0.4251206	Yes	
row_30	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	6623	0.4875614643096924	0.43191537	Yes	
row_31	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	6866	0.48135650157928467	0.43327194	Yes	
