NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	43	3.793766498565674	0.027375087	No	
row_1	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	772	2.056781768798828	0.02433413	No	
row_2	RYR3	ryanodine receptor 3 [Source:HGNC Symbol;Acc:HGNC:10485]	1017	1.8618501424789429	0.032112602	No	
row_3	PPP3CA	protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]	1044	1.831868052482605	0.045198113	No	
row_4	IDE	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]	1117	1.776666283607483	0.056702122	No	
row_5	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	1257	1.6998714208602905	0.065929696	No	
row_6	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	1343	1.652363657951355	0.076171115	No	
row_7	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	1555	1.5443668365478516	0.082404785	No	
row_8	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2 [Source:HGNC Symbol;Acc:HGNC:7717]	1557	1.543662428855896	0.09396218	No	
row_9	GNAQ	G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]	1626	1.5149754285812378	0.10360411	No	
row_10	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	1753	1.4596548080444336	0.11135912	No	
row_11	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	2391	1.2174383401870728	0.104329444	No	
row_12	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:3255]	2982	1.043664813041687	0.097188555	No	
row_13	COX6B2	cytochrome c oxidase subunit 6B2 [Source:HGNC Symbol;Acc:HGNC:24380]	3458	0.9366375207901001	0.092162855	No	
row_14	ADAM17	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	3680	0.8897796273231506	0.09323111	No	
row_15	BACE1	beta-secretase 1 [Source:HGNC Symbol;Acc:HGNC:933]	4198	0.8004470467567444	0.086117715	No	
row_16	CACNA1C	calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]	4310	0.778039813041687	0.089138925	No	
row_17	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4 [Source:HGNC Symbol;Acc:HGNC:7711]	4464	0.7489028573036194	0.0908757	No	
row_18	ATF6	activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]	4497	0.7441490888595581	0.095647335	No	
row_19	COX6C	cytochrome c oxidase subunit 6C [Source:HGNC Symbol;Acc:HGNC:2285]	4552	0.7342017889022827	0.09978605	No	
row_20	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	4799	0.6887153387069702	0.09871124	No	
row_21	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	4839	0.6812223792076111	0.10283307	No	
row_22	NDUFA4	NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]	5254	0.6032267808914185	0.09685359	No	
row_23	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	5325	0.5898382663726807	0.09950307	No	
row_24	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	5363	0.5823244452476501	0.10293358	No	
row_25	COX7B	cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]	5664	0.551131010055542	0.099456094	No	
row_26	COX7B2	cytochrome c oxidase subunit 7B2 [Source:HGNC Symbol;Acc:HGNC:24381]	6042	0.5293053984642029	0.09386087	No	
row_27	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	6361	0.5111551284790039	0.089626655	No	
row_28	CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	6500	0.4920579195022583	0.08981686	No	
row_29	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	6925	0.4713283181190491	0.08259393	No	
row_30	CALML3	calmodulin like 3 [Source:HGNC Symbol;Acc:HGNC:1452]	7361	0.41761696338653564	0.074688844	No	
row_31	COX4I2	cytochrome c oxidase subunit 4I2 [Source:HGNC Symbol;Acc:HGNC:16232]	7482	0.41761696338653564	0.07477726	No	
row_32	CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	7581	0.4149986207485199	0.0754043	No	
