NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFSF4	TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934]	7	4.414218425750732	0.017165031	No	
row_1	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	8	4.408353328704834	0.03448505	No	
row_2	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	11	4.339991569519043	0.051485617	No	
row_3	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	37	3.8510589599609375	0.06598025	No	
row_4	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	116	3.2705554962158203	0.07684619	No	
row_5	GHR	growth hormone receptor [Source:HGNC Symbol;Acc:HGNC:4263]	168	3.0353829860687256	0.08747485	No	
row_6	GDF5	growth differentiation factor 5 [Source:HGNC Symbol;Acc:HGNC:4220]	354	2.6226859092712402	0.09307404	No	
row_7	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	431	2.4812424182891846	0.10088971	No	
row_8	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	553	2.300215244293213	0.106849656	No	
row_9	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	863	1.986476182937622	0.10679554	No	
row_10	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	902	1.9533565044403076	0.11350365	No	
row_11	KITLG	KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]	926	1.937412142753601	0.120530605	No	
row_12	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	1035	1.8449761867523193	0.12503259	No	
row_13	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	1103	1.7852842807769775	0.1303428	No	
row_14	TSLP	thymic stromal lymphopoietin [Source:HGNC Symbol;Acc:HGNC:30743]	1325	1.6615711450576782	0.13125026	No	
row_15	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	1343	1.652363657951355	0.13730988	No	
row_16	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	1470	1.5846726894378662	0.14033136	No	
row_17	EDA	ectodysplasin A [Source:HGNC Symbol;Acc:HGNC:3157]	1700	1.4808483123779297	0.14032532	No	
row_18	BMPR1A	bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]	2109	1.3132976293563843	0.13510849	No	
row_19	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	2110	1.3122849464416504	0.14026433	No	
