NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	788	2.0449531078338623	0.029448569	No	
row_1	POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]	1070	1.8091646432876587	0.06603074	No	
row_2	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	2092	1.3164469003677368	0.07199033	No	
row_3	POLR3G	RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]	2299	1.2473589181900024	0.096902326	No	
row_4	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	3717	0.881605863571167	0.082340874	No	
row_5	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	3762	0.8728745579719543	0.10230782	No	
row_6	POLR3F	RNA polymerase III subunit F [Source:HGNC Symbol;Acc:HGNC:15763]	4290	0.7812283039093018	0.10784075	No	
row_7	POLR3GL	RNA polymerase III subunit GL [Source:HGNC Symbol;Acc:HGNC:28466]	6329	0.5139631628990173	0.06868823	No	
row_8	IFNA8	interferon alpha 8 [Source:HGNC Symbol;Acc:HGNC:5429]	7254	0.42356348037719727	0.05553864	No	
row_9	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	9267	0.16677150130271912	0.0086591635	No	
row_10	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	9492	0.13620799779891968	0.006281048	No	
row_11	TREX1	three prime repair exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:12269]	10113	0.04407435655593872	-0.008341609	No	
row_12	IFNA13	interferon alpha 13 [Source:HGNC Symbol;Acc:HGNC:5419]	17635	0.0	-0.19863586	No	
row_13	IFNA14	interferon alpha 14 [Source:HGNC Symbol;Acc:HGNC:5420]	17637	0.0	-0.19866116	No	
row_14	IFNA16	interferon alpha 16 [Source:HGNC Symbol;Acc:HGNC:5421]	17638	0.0	-0.19866116	No	
row_15	IFNA17	interferon alpha 17 [Source:HGNC Symbol;Acc:HGNC:5422]	17639	0.0	-0.19866116	No	
row_16	IFNA10	interferon alpha 10 [Source:HGNC Symbol;Acc:HGNC:5418]	17645	0.0	-0.19878767	No	
row_17	IFNA21	interferon alpha 21 [Source:HGNC Symbol;Acc:HGNC:5424]	17652	0.0	-0.19893949	No	
row_18	AIM2	absent in melanoma 2 [Source:HGNC Symbol;Acc:HGNC:357]	23005	0.0	-0.3343543	No	
