NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	11	4.339991569519043	0.05800193	Yes	
row_1	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	43	3.793766498565674	0.108162224	Yes	
row_2	LPAR1	lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	268	2.787086248397827	0.13991603	Yes	
row_3	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	407	2.522871971130371	0.17029989	Yes	
row_4	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	629	2.214057683944702	0.19443464	Yes	
row_5	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	649	2.1735329627990723	0.2231412	Yes	
row_6	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	1241	1.7069438695907593	0.23109518	Yes	
row_7	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	1257	1.6998714208602905	0.25354236	Yes	
row_8	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	1555	1.5443668365478516	0.26675922	Yes	
row_9	GNAQ	G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]	1626	1.5149754285812378	0.2853305	Yes	
row_10	TUBB6	tubulin beta 6 class V [Source:HGNC Symbol;Acc:HGNC:20776]	1636	1.5099716186523438	0.30537957	Yes	
row_11	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	1821	1.42661452293396	0.31987706	Yes	
row_12	NRAS	NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]	2097	1.3157860040664673	0.33058152	Yes	
row_13	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	2228	1.2760733366012573	0.34442508	Yes	
row_14	PRKACB	protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]	2329	1.2361857891082764	0.3584928	Yes	
row_15	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]	2374	1.223246455192566	0.37380505	Yes	
row_16	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	2601	1.1463803052902222	0.38347563	Yes	
row_17	TUBA3D	tubulin alpha 3d [Source:HGNC Symbol;Acc:HGNC:24071]	3424	0.9435781240463257	0.37532812	Yes	
row_18	DRD1	dopamine receptor D1 [Source:HGNC Symbol;Acc:HGNC:3020]	3633	0.8980132937431335	0.38211933	Yes	
row_19	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	3659	0.8935714364051819	0.3934857	Yes	
row_20	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	3695	0.8860239386558533	0.4044974	Yes	
row_21	PDGFA	platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]	3759	0.8735715746879578	0.41463277	Yes	
row_22	TUBA1A	tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]	3797	0.8660244345664978	0.42532527	Yes	
