NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	879	1.9722533226013184	0.041619334	No	
row_1	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	1343	1.652363657951355	0.08340421	No	
row_2	CD28	CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]	4124	0.812431812286377	0.03939125	No	
row_3	HLA-DOB	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]	4533	0.7372866272926331	0.052941393	No	
row_4	KLRD1	killer cell lectin like receptor D1 [Source:HGNC Symbol;Acc:HGNC:6378]	4835	0.6813541054725647	0.067387104	No	
row_5	PRF1	perforin 1 [Source:HGNC Symbol;Acc:HGNC:9360]	14694	0.0	-0.18195528	No	
row_6	HLA-DOA	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	15761	0.0	-0.20891804	No	
row_7	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	15777	0.0	-0.20929745	No	
row_8	IL2	interleukin 2 [Source:HGNC Symbol;Acc:HGNC:6001]	17181	0.0	-0.24478409	No	
row_9	HLA-DRB5	major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]	17512	0.0	-0.2531309	No	
row_10	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	17532	0.0	-0.25361148	No	
row_11	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]	17827	0.0	-0.26104775	No	
row_12	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	17828	0.0	-0.26104775	No	
row_13	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	17853	0.0	-0.2616548	No	
row_14	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	19481	0.0	-0.30280715	No	
row_15	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	19980	0.0	-0.31540328	No	
row_16	GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	22607	0.0	-0.38182375	No	
row_17	KLRC1	killer cell lectin like receptor C1 [Source:HGNC Symbol;Acc:HGNC:6374]	23582	0.0	-0.40645954	No	
row_18	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]	24936	0.0	-0.44068152	No	
row_19	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]	24937	0.0	-0.44068152	No	
row_20	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]	28505	0.0	-0.5309031	No	
row_21	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]	28509	0.0	-0.530979	No	
row_22	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]	29739	0.0	-0.5620645	No	
row_23	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	29741	0.0	-0.56208986	No	
row_24	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]	31144	-0.18457375466823578	-0.59157556	No	
row_25	HLA-G	major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]	32554	-0.38950857520103455	-0.6146035	No	
row_26	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	33032	-0.44008684158325195	-0.61242056	No	
row_27	HLA-C	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	36237	-0.8885671496391296	-0.664693	Yes	
row_28	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	36824	-1.0182116031646729	-0.64655006	Yes	
row_29	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	37183	-1.109114646911621	-0.6196972	Yes	
row_30	HLA-DPB1	major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]	37336	-1.1632959842681885	-0.5858798	Yes	
row_31	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	37598	-1.2616018056869507	-0.5516367	Yes	
row_32	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	38131	-1.5056633949279785	-0.5163465	Yes	
row_33	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	38979	-2.2766218185424805	-0.46406376	Yes	
row_34	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	39539	-4.816554546356201	-0.3222655	Yes	
row_35	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	39566	-4.9797892570495605	-0.16170113	Yes	
row_36	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	39571	-4.998490810394287	2.5208072E-5	Yes	
