NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	37	3.8510589599609375	0.043436714	No	
row_1	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	253	2.81752872467041	0.07045691	No	
row_2	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	410	2.517261505126953	0.09551141	No	
row_3	CD1E	CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]	586	2.2621724605560303	0.11714549	No	
row_4	KITLG	KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]	926	1.937412142753601	0.13088438	No	
row_5	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	1791	1.4387575387954712	0.12558235	No	
row_6	IL11RA	interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]	2946	1.0527781248092651	0.10848889	No	
row_7	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	3946	0.8380144238471985	0.09284606	No	
row_8	CD3D	CD3 delta subunit of T-cell receptor complex [Source:HGNC Symbol;Acc:HGNC:1673]	4125	0.812431812286377	0.09769958	No	
row_9	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	4291	0.7812249660491943	0.10252274	No	
row_10	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	5434	0.5723869800567627	0.08019787	No	
row_11	CD19	CD19 molecule [Source:HGNC Symbol;Acc:HGNC:1633]	6123	0.5269612073898315	0.06884675	No	
row_12	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	6292	0.5158188939094543	0.0705358	No	
row_13	DNTT	DNA nucleotidylexotransferase [Source:HGNC Symbol;Acc:HGNC:2983]	6651	0.484661728143692	0.06705426	No	
row_14	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	7237	0.42356348037719727	0.057120126	No	
row_15	ITGA1	integrin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6134]	8753	0.24751365184783936	0.021606008	No	
row_16	GP5	glycoprotein V platelet [Source:HGNC Symbol;Acc:HGNC:4443]	8779	0.2434064745903015	0.023777546	No	
row_17	CD3E	CD3 epsilon subunit of T-cell receptor complex [Source:HGNC Symbol;Acc:HGNC:1674]	9248	0.1696508526802063	0.013880642	No	
row_18	CD3G	CD3 gamma subunit of T-cell receptor complex [Source:HGNC Symbol;Acc:HGNC:1675]	9329	0.15581274032592773	0.013650058	No	
row_19	CD34	CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]	9526	0.1309567242860794	0.0101954695	No	
row_20	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	9574	0.12288352102041245	0.010421156	No	
row_21	MS4A1	membrane spanning 4-domains A1 [Source:HGNC Symbol;Acc:HGNC:7315]	14307	0.0	-0.109412715	No	
row_22	GYPA	glycophorin A (MNS blood group) [Source:HGNC Symbol;Acc:HGNC:4702]	15040	0.0	-0.12795	No	
row_23	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	15191	0.0	-0.13174862	No	
row_24	CD5	CD5 molecule [Source:HGNC Symbol;Acc:HGNC:1685]	15304	0.0	-0.13458492	No	
row_25	CR2	complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]	15424	0.0	-0.1375985	No	
row_26	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	15777	0.0	-0.1465126	No	
row_27	GP9	glycoprotein IX platelet [Source:HGNC Symbol;Acc:HGNC:4444]	16613	0.0	-0.16765825	No	
row_28	IL5RA	interleukin 5 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6017]	16645	0.0	-0.1684433	No	
row_29	IL4	interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014]	17182	0.0	-0.18201704	No	
row_30	IL3	interleukin 3 [Source:HGNC Symbol;Acc:HGNC:6011]	17183	0.0	-0.18201704	No	
row_31	IL5	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]	17184	0.0	-0.18201704	No	
row_32	HLA-DRB5	major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]	17512	0.0	-0.19029805	No	
row_33	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	17532	0.0	-0.19077921	No	
row_34	THPO	thrombopoietin [Source:HGNC Symbol;Acc:HGNC:11795]	20601	0.0	-0.26847368	No	
row_35	IL9R	interleukin 9 receptor [Source:HGNC Symbol;Acc:HGNC:6030]	21638	0.0	-0.2947095	No	
row_36	FLT3LG	fms related receptor tyrosine kinase 3 ligand [Source:HGNC Symbol;Acc:HGNC:3766]	21856	0.0	-0.30020484	No	
row_37	CSF2RA	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	22405	0.0	-0.31408247	No	
row_38	GP1BB	glycoprotein Ib platelet subunit beta [Source:HGNC Symbol;Acc:HGNC:4440]	22931	0.0	-0.32737768	No	
row_39	FCER2	Fc epsilon receptor II [Source:HGNC Symbol;Acc:HGNC:3612]	25996	0.0	-0.40497085	No	
row_40	CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	26016	0.0	-0.405452	No	
row_41	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	26385	0.0	-0.4147713	No	
row_42	FLT3	fms related receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	26839	0.0	-0.42624313	No	
row_43	CD1C	CD1c molecule [Source:HGNC Symbol;Acc:HGNC:1636]	29645	0.0	-0.49727738	No	
row_44	CD1B	CD1b molecule [Source:HGNC Symbol;Acc:HGNC:1635]	29646	0.0	-0.49727738	No	
row_45	CD33	CD33 molecule [Source:HGNC Symbol;Acc:HGNC:1659]	29677	0.0	-0.4980371	No	
row_46	CD8B	CD8b molecule [Source:HGNC Symbol;Acc:HGNC:1707]	29743	0.0	-0.49968317	No	
row_47	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	29744	0.0	-0.49968317	No	
row_48	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	29950	-0.007864228449761868	-0.504784	No	
row_49	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	30080	-0.02891657128930092	-0.5077176	No	
row_50	FCGR1A	Fc gamma receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]	31366	-0.21751949191093445	-0.5377528	No	
row_51	CD37	CD37 molecule [Source:HGNC Symbol;Acc:HGNC:1666]	31643	-0.2524089515209198	-0.5418339	No	
row_52	CD59	CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]	32149	-0.3282739520072937	-0.5508401	No	
row_53	IL3RA	interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012]	32490	-0.37860652804374695	-0.5550878	No	
row_54	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	33031	-0.44008684158325195	-0.5636919	No	
row_55	CD1A	CD1a molecule [Source:HGNC Symbol;Acc:HGNC:1634]	33156	-0.44191205501556396	-0.5617402	No	
row_56	CD7	CD7 molecule [Source:HGNC Symbol;Acc:HGNC:1695]	33995	-0.5330261588096619	-0.5768201	No	
row_57	CR1	complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334]	34289	-0.5470247864723206	-0.577937	No	
row_58	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	34926	-0.622693657875061	-0.58686817	Yes	
