NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GHR	growth hormone receptor [Source:HGNC Symbol;Acc:HGNC:4263]	168	3.0353829860687256	0.020780623	No	
row_1	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	481	2.401440143585205	0.032678027	No	
row_2	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	902	1.9533565044403076	0.038138855	No	
row_3	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	1241	1.7069438695907593	0.043646943	No	
row_4	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	1274	1.6877979040145874	0.056759827	No	
row_5	TSLP	thymic stromal lymphopoietin [Source:HGNC Symbol;Acc:HGNC:30743]	1325	1.6615711450576782	0.0691997	No	
row_6	SOCS5	suppressor of cytokine signaling 5 [Source:HGNC Symbol;Acc:HGNC:16852]	1511	1.5621598958969116	0.07739467	No	
row_7	STAM2	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]	1965	1.3719109296798706	0.0772213	No	
row_8	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	2287	1.2521874904632568	0.07940881	No	
row_9	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]	2374	1.223246455192566	0.08731916	No	
row_10	SOCS4	suppressor of cytokine signaling 4 [Source:HGNC Symbol;Acc:HGNC:19392]	2408	1.2121176719665527	0.09648221	No	
row_11	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	2415	1.2092796564102173	0.106306806	No	
row_12	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	2604	1.1445338726043701	0.11098017	No	
row_13	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	2683	1.117011547088623	0.118217	No	
row_14	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]	2797	1.0859516859054565	0.12430968	No	
row_15	IL11RA	interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]	2946	1.0527781248092651	0.12924078	No	
row_16	LEPR	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	3230	0.9848540425300598	0.13018675	No	
row_17	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	3423	0.944091796875	0.13310495	No	
row_18	IL12RB2	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	3574	0.909148097038269	0.13680033	No	
