NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSV	cathepsin V [Source:HGNC Symbol;Acc:HGNC:2538]	368	2.6053004264831543	0.011334327	No	
row_1	AP1S3	adaptor related protein complex 1 subunit sigma 3 [Source:HGNC Symbol;Acc:HGNC:18971]	498	2.3782753944396973	0.026926158	No	
row_2	LIPA	lipase A, lysosomal acid type [Source:HGNC Symbol;Acc:HGNC:6617]	528	2.3284785747528076	0.044657785	No	
row_3	SORT1	sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]	618	2.2230355739593506	0.06003233	No	
row_4	AP4E1	adaptor related protein complex 4 subunit epsilon 1 [Source:HGNC Symbol;Acc:HGNC:573]	664	2.154057025909424	0.0759751	No	
row_5	GNPTAB	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta [Source:HGNC Symbol;Acc:HGNC:29670]	928	1.9359238147735596	0.08466219	No	
row_6	AP1S2	adaptor related protein complex 1 subunit sigma 2 [Source:HGNC Symbol;Acc:HGNC:560]	1638	1.5081404447555542	0.07865175	No	
row_7	CD164	CD164 molecule [Source:HGNC Symbol;Acc:HGNC:1632]	1739	1.4649511575698853	0.08773526	No	
row_8	AP3S1	adaptor related protein complex 3 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:2013]	1872	1.4070638418197632	0.09554856	No	
row_9	SCARB2	scavenger receptor class B member 2 [Source:HGNC Symbol;Acc:HGNC:1665]	2231	1.2750171422958374	0.09658615	No	
row_10	AP3B1	adaptor related protein complex 3 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:566]	2573	1.1552367210388184	0.09710469	No	
row_11	MFSD8	major facilitator superfamily domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28486]	2767	1.0950531959533691	0.10089732	No	
row_12	AP3M2	adaptor related protein complex 3 subunit mu 2 [Source:HGNC Symbol;Acc:HGNC:570]	3577	0.908882200717926	0.087599546	No	
row_13	ATP6V0A4	ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866]	3640	0.895563542842865	0.09313055	No	
row_14	AP4S1	adaptor related protein complex 4 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:575]	3880	0.849456787109375	0.09380943	No	
row_15	ARSB	arylsulfatase B [Source:HGNC Symbol;Acc:HGNC:714]	3886	0.8475348949432373	0.10040432	No	
row_16	AP3B2	adaptor related protein complex 3 subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:567]	4171	0.8048940300941467	0.099589154	No	
row_17	CTSO	cathepsin O [Source:HGNC Symbol;Acc:HGNC:2542]	4211	0.7980390787124634	0.1049297	No	
row_18	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	4515	0.74131840467453	0.10312873	No	
row_19	CLTCL1	clathrin heavy chain like 1 [Source:HGNC Symbol;Acc:HGNC:2093]	4588	0.7268981337547302	0.10706861	No	
row_20	NAGA	alpha-N-acetylgalactosaminidase [Source:HGNC Symbol;Acc:HGNC:7631]	4624	0.721267580986023	0.111901686	No	
row_21	DNASE2	deoxyribonuclease 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:2960]	4653	0.714910089969635	0.116861776	No	
row_22	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	4728	0.7039628624916077	0.120569065	No	
row_23	SUMF1	sulfatase modifying factor 1 [Source:HGNC Symbol;Acc:HGNC:20376]	4748	0.6991150975227356	0.125632	No	
row_24	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	4793	0.6902899146080017	0.12999128	No	
row_25	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:17378]	4933	0.6629424691200256	0.13172568	No	
row_26	AP3M1	adaptor related protein complex 3 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:569]	5002	0.6501359939575195	0.13515817	No	
row_27	CLN5	CLN5 intracellular trafficking protein [Source:HGNC Symbol;Acc:HGNC:2076]	5003	0.6500558853149414	0.14031363	No	
row_28	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	5177	0.6187320351600647	0.14083558	No	
row_29	AP1G1	adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555]	5291	0.5962519645690918	0.1427001	No	
row_30	ASAH1	N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]	5629	0.553800642490387	0.13855016	No	
row_31	AGA	aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]	6496	0.492553174495697	0.12050578	No	
row_32	AP1M2	adaptor related protein complex 1 subunit mu 2 [Source:HGNC Symbol;Acc:HGNC:558]	6937	0.46787965297698975	0.11306364	No	
row_33	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	6995	0.4574581980705261	0.11524686	No	
row_34	HEXB	hexosaminidase subunit beta [Source:HGNC Symbol;Acc:HGNC:4879]	7321	0.4203087091445923	0.11034238	No	
row_35	DNASE2B	deoxyribonuclease 2 beta [Source:HGNC Symbol;Acc:HGNC:28875]	7512	0.41761696338653564	0.10883845	No	
row_36	GALC	galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]	7532	0.4157707393169403	0.11165424	No	
row_37	LAPTM4B	lysosomal protein transmembrane 4 beta [Source:HGNC Symbol;Acc:HGNC:13646]	7936	0.36917853355407715	0.104367174	No	
row_38	ATP6V0A2	ATPase H+ transporting V0 subunit a2 [Source:HGNC Symbol;Acc:HGNC:18481]	8869	0.23058100044727325	0.08257222	No	
row_39	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:26527]	8881	0.22809837758541107	0.08410241	No	
row_40	IDUA	alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]	9765	0.09713346511125565	0.062491126	No	
row_41	LAPTM4A	lysosomal protein transmembrane 4 alpha [Source:HGNC Symbol;Acc:HGNC:6924]	10145	0.03879173472523689	0.053192165	No	
row_42	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	10182	0.033213287591934204	0.05254307	No	
row_43	SLC17A5	solute carrier family 17 member 5 [Source:HGNC Symbol;Acc:HGNC:10933]	10322	0.012427412904798985	0.049118362	No	
row_44	PSAPL1	prosaposin like 1 [Source:HGNC Symbol;Acc:HGNC:33131]	22410	0.0	-0.25725394	No	
row_45	CTSG	cathepsin G [Source:HGNC Symbol;Acc:HGNC:2532]	24537	0.0	-0.3111422	No	
row_46	CTSE	cathepsin E [Source:HGNC Symbol;Acc:HGNC:2530]	24539	0.0	-0.31116754	No	
