NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	11	4.339991569519043	0.06340264	Yes	
row_1	FGF1	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	25	3.97912335395813	0.12145959	Yes	
row_2	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	116	3.2705554962158203	0.16717039	Yes	
row_3	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	201	2.9427661895751953	0.2082234	Yes	
row_4	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	407	2.522871971130371	0.24005212	Yes	
row_5	FGF5	fibroblast growth factor 5 [Source:HGNC Symbol;Acc:HGNC:3683]	678	2.1423521041870117	0.26465195	Yes	
row_6	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	859	1.9881409406661987	0.2892674	Yes	
row_7	MITF	melanocyte inducing transcription factor [Source:HGNC Symbol;Acc:HGNC:7105]	864	1.9855248928070068	0.31829995	Yes	
row_8	FGF7	fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]	936	1.9250432252883911	0.3447489	Yes	
row_9	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	957	1.9081430435180664	0.37224096	Yes	
row_10	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	1163	1.7453293800354004	0.39266074	Yes	
row_11	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	1274	1.6877979040145874	0.41464126	Yes	
row_12	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	1821	1.42661452293396	0.42175204	Yes	
row_13	MDM2	MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]	1963	1.3724699020385742	0.43832096	Yes	
row_14	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	2079	1.3214818239212036	0.45479995	Yes	
