NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	1035	1.8449761867523193	-3.4380177E-4	No	
row_1	NLRP1	NLR family pyrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14374]	1270	1.6906810998916626	0.017422365	No	
row_2	NOD1	nucleotide binding oligomerization domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16390]	1341	1.6529077291488647	0.038809817	No	
row_3	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	2092	1.3164469003677368	0.038273565	No	
row_4	ERBIN	erbb2 interacting protein [Source:HGNC Symbol;Acc:HGNC:15842]	2393	1.2173773050308228	0.047737896	No	
row_5	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	2420	1.206459403038025	0.063983686	No	
row_6	TRAF6	TNF receptor associated factor 6 [Source:HGNC Symbol;Acc:HGNC:12036]	3306	0.9691697359085083	0.05516511	No	
row_7	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	3717	0.881605863571167	0.057141025	No	
row_8	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]	3728	0.8789881467819214	0.06920352	No	
row_9	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	3762	0.8728745579719543	0.080598265	No	
row_10	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	4896	0.6694005727767944	0.061303183	No	
row_11	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	4937	0.6622545123100281	0.06956976	No	
row_12	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	5131	0.6277527213096619	0.073480785	No	
row_13	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	6361	0.5111551284790039	0.04953893	No	
row_14	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	6515	0.4903712272644043	0.052537415	No	
row_15	BIRC2	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]	6998	0.4564535915851593	0.046734307	No	
row_16	NAIP	NLR family apoptosis inhibitory protein [Source:HGNC Symbol;Acc:HGNC:7634]	8327	0.3124033212661743	0.017502222	No	
row_17	TAB3	TGF-beta activated kinase 1 (MAP3K7) binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30681]	8598	0.2719953954219818	0.014479978	No	
row_18	NLRC4	NLR family CARD domain containing 4 [Source:HGNC Symbol;Acc:HGNC:16412]	9043	0.20323297381401062	0.0060906825	No	
row_19	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]	9350	0.15401875972747803	5.0436484E-4	No	
row_20	TRIP6	thyroid hormone receptor interactor 6 [Source:HGNC Symbol;Acc:HGNC:12311]	10134	0.04049673676490784	-0.018744495	No	
row_21	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	10305	0.015094544738531113	-0.022835387	No	
row_22	PYDC1	pyrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30261]	11841	0.0	-0.06168336	No	
row_23	CARD18	caspase recruitment domain family member 18 [Source:HGNC Symbol;Acc:HGNC:28861]	13217	0.0	-0.09648204	No	
row_24	MEFV	MEFV innate immuity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]	15902	0.0	-0.16440906	No	
row_25	NOD2	nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331]	22883	0.0	-0.34105977	No	
row_26	CCL13	C-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10611]	24766	0.0	-0.38868967	No	
