NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAMK2D	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	68	3.5064730644226074	0.036017314	Yes	
row_1	ANAPC4	anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]	239	2.848090171813965	0.062363476	Yes	
row_2	SGO1	shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088]	246	2.8302688598632812	0.092673935	Yes	
row_3	CCNE2	cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]	401	2.5366106033325195	0.11607309	Yes	
row_4	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	434	2.4736180305480957	0.14188598	Yes	
row_5	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	548	2.3040530681610107	0.1638211	Yes	
row_6	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	649	2.1735329627990723	0.18468088	Yes	
row_7	REC8	REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]	769	2.0589938163757324	0.20382635	Yes	
row_8	RPS6KA6	ribosomal protein S6 kinase A6 [Source:HGNC Symbol;Acc:HGNC:10435]	817	2.0278172492980957	0.22446091	Yes	
row_9	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	957	1.9081430435180664	0.24147592	Yes	
row_10	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	996	1.878822922706604	0.26073492	Yes	
row_11	PPP3CA	protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]	1044	1.831868052482605	0.27926043	Yes	
row_12	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	1521	1.559366226196289	0.28398123	Yes	
row_13	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	1555	1.5443668365478516	0.29976714	Yes	
row_14	SLK	STE20 like kinase [Source:HGNC Symbol;Acc:HGNC:11088]	1693	1.4832957983016968	0.31226015	Yes	
row_15	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1776	1.448396921157837	0.32577136	Yes	
row_16	PTTG1	PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]	1793	1.4382338523864746	0.34084576	Yes	
row_17	FBXO5	F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]	2063	1.3281748294830322	0.34832403	Yes	
row_18	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma [Source:HGNC Symbol;Acc:HGNC:9311]	2303	1.2462546825408936	0.35568085	Yes	
row_19	PRKACB	protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]	2329	1.2361857891082764	0.3683525	Yes	
row_20	SMC1A	structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]	2465	1.185316801071167	0.37768903	Yes	
row_21	PPP1CB	protein phosphatase 1 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9282]	2740	1.1041743755340576	0.38262963	Yes	
row_22	CCNB1	cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]	3000	1.0395138263702393	0.38725445	Yes	
