NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPA1	inorganic pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9226]	1084	1.8021535873413086	-0.008773815	No	
row_1	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2 [Source:HGNC Symbol;Acc:HGNC:7717]	1557	1.543662428855896	-0.0047144825	No	
row_2	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	1753	1.4596548080444336	0.005495816	No	
row_3	COX6B2	cytochrome c oxidase subunit 6B2 [Source:HGNC Symbol;Acc:HGNC:24380]	3458	0.9366375207901001	-0.027983623	No	
row_4	ATP6V0A4	ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866]	3640	0.895563542842865	-0.023274858	No	
row_5	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4 [Source:HGNC Symbol;Acc:HGNC:7711]	4464	0.7489028573036194	-0.036366228	No	
row_6	COX6C	cytochrome c oxidase subunit 6C [Source:HGNC Symbol;Acc:HGNC:2285]	4552	0.7342017889022827	-0.030949442	No	
row_7	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase [Source:HGNC Symbol;Acc:HGNC:30042]	4658	0.7143802642822266	-0.026194826	No	
row_8	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	4799	0.6887153387069702	-0.022594068	No	
row_9	NDUFA4	NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]	5254	0.6032267808914185	-0.027842125	No	
row_10	COX7B	cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]	5664	0.551131010055542	-0.03249011	No	
row_11	COX7B2	cytochrome c oxidase subunit 7B2 [Source:HGNC Symbol;Acc:HGNC:24381]	6042	0.5293053984642029	-0.036553346	No	
row_12	ATP6V1B1	ATPase H+ transporting V1 subunit B1 [Source:HGNC Symbol;Acc:HGNC:853]	6444	0.5025523900985718	-0.041502845	No	
row_13	ATP6V1A	ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]	7336	0.41813725233078003	-0.059752375	No	
row_14	COX4I2	cytochrome c oxidase subunit 4I2 [Source:HGNC Symbol;Acc:HGNC:16232]	7482	0.41761696338653564	-0.05909298	No	
row_15	COX7C	cytochrome c oxidase subunit 7C [Source:HGNC Symbol;Acc:HGNC:2292]	7755	0.3998137414455414	-0.061838422	No	
row_16	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	7892	0.3774290084838867	-0.061368078	No	
row_17	ATP5F1C	ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]	8010	0.35803547501564026	-0.060617346	No	
row_18	ATP6V1D	ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527]	8202	0.32895562052726746	-0.062044747	No	
row_19	COX11	cytochrome c oxidase copper chaperone COX11 [Source:HGNC Symbol;Acc:HGNC:2261]	8222	0.3259844481945038	-0.059142053	No	
row_20	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698]	8681	0.2588420808315277	-0.06806699	No	
