NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBA7	ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]	752	2.0726351737976074	0.0032780683	No	
row_1	GPR37	G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]	872	1.9771721363067627	0.021575496	No	
row_2	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2 [Source:HGNC Symbol;Acc:HGNC:7717]	1557	1.543662428855896	0.020875104	No	
row_3	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	1753	1.4596548080444336	0.031666726	No	
row_4	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	2391	1.2174383401870728	0.028641148	No	
row_5	PRKN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]	2897	1.0615154504776	0.027281279	No	
row_6	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	2912	1.059751272201538	0.038350735	No	
row_7	COX6B2	cytochrome c oxidase subunit 6B2 [Source:HGNC Symbol;Acc:HGNC:24380]	3458	0.9366375207901001	0.034630526	No	
row_8	UBE2J1	ubiquitin conjugating enzyme E2 J1 [Source:HGNC Symbol;Acc:HGNC:17598]	3898	0.8458511233329773	0.03261904	No	
row_9	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4 [Source:HGNC Symbol;Acc:HGNC:7711]	4464	0.7489028573036194	0.026367944	No	
row_10	COX6C	cytochrome c oxidase subunit 6C [Source:HGNC Symbol;Acc:HGNC:2285]	4552	0.7342017889022827	0.03207712	No	
row_11	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	4799	0.6887153387069702	0.033264805	No	
row_12	PPID	peptidylprolyl isomerase D [Source:HGNC Symbol;Acc:HGNC:9257]	4847	0.6797458529472351	0.03940105	No	
row_13	NDUFA4	NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]	5254	0.6032267808914185	0.03561066	No	
row_14	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	5325	0.5898382663726807	0.04019456	No	
row_15	COX7B	cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]	5664	0.551131010055542	0.037566572	No	
row_16	COX7B2	cytochrome c oxidase subunit 7B2 [Source:HGNC Symbol;Acc:HGNC:24381]	6042	0.5293053984642029	0.033714525	No	
row_17	COX4I2	cytochrome c oxidase subunit 4I2 [Source:HGNC Symbol;Acc:HGNC:16232]	7482	0.41761696338653564	0.0017335215	No	
row_18	COX7C	cytochrome c oxidase subunit 7C [Source:HGNC Symbol;Acc:HGNC:2292]	7755	0.3998137414455414	-8.524078E-4	No	
