NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3247]	166	3.0430047512054443	0.046255007	Yes	
row_1	FAR1	fatty acyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:26222]	628	2.2141268253326416	0.07129677	Yes	
row_2	ACOX2	acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]	643	2.1866707801818848	0.10720085	Yes	
row_3	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	733	2.089988946914673	0.13960287	Yes	
row_4	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	736	2.086411237716675	0.17414832	Yes	
row_5	NUDT12	nudix hydrolase 12 [Source:HGNC Symbol;Acc:HGNC:18826]	759	2.066415786743164	0.20785585	Yes	
row_6	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	978	1.8922135829925537	0.23371227	Yes	
row_7	MVK	mevalonate kinase [Source:HGNC Symbol;Acc:HGNC:7530]	1081	1.8026028871536255	0.26101983	Yes	
row_8	FAR2	fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]	1206	1.7269731760025024	0.28651628	Yes	
row_9	PEX1	peroxisomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8850]	1565	1.5400696992874146	0.30298895	Yes	
row_10	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	1764	1.4535880088806152	0.32207862	Yes	
row_11	AGPS	alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]	1803	1.434133529663086	0.34489676	Yes	
row_12	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	1846	1.418152928352356	0.36734864	Yes	
row_13	PEX3	peroxisomal biogenesis factor 3 [Source:HGNC Symbol;Acc:HGNC:8858]	2249	1.267431378364563	0.37818646	Yes	
row_14	PEX2	peroxisomal biogenesis factor 2 [Source:HGNC Symbol;Acc:HGNC:9717]	2313	1.2417961359024048	0.39718238	Yes	
