NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	3557	0.9137551784515381	-0.056456633	No	
row_1	PSMC6	proteasome 26S subunit, ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9553]	4072	0.8199717402458191	-0.039371237	No	
row_2	PSMC2	proteasome 26S subunit, ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9548]	4539	0.7366260290145874	-0.024129884	No	
row_3	PSMD6	proteasome 26S subunit, non-ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9564]	7174	0.42662307620048523	-0.07511128	No	
row_4	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	7304	0.42246219515800476	-0.06287255	No	
row_5	PSME4	proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635]	7740	0.40239354968070984	-0.05911159	No	
row_6	PSMD1	proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]	8672	0.260617733001709	-0.073101155	No	
row_7	SEM1	SEM1 26S proteasome subunit [Source:HGNC Symbol;Acc:HGNC:10845]	9361	0.15285849571228027	-0.08489741	No	
row_8	PSMA4	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]	9418	0.14742285013198853	-0.08090445	No	
row_9	PSMA2	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]	9615	0.11750432103872299	-0.08155114	No	
row_10	PSMC1	proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]	9740	0.10032685846090317	-0.08100667	No	
row_11	POMP	proteasome maturation protein [Source:HGNC Symbol;Acc:HGNC:20330]	10111	0.044289007782936096	-0.088741936	No	
row_12	PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]	10291	0.01749100536108017	-0.09262854	No	
row_13	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	10327	0.011403309181332588	-0.09309554	No	
row_14	PSMB11	proteasome subunit beta 11 [Source:HGNC Symbol;Acc:HGNC:31963]	10889	0.0	-0.10728802	No	
row_15	PSMC1P4	proteasome 26S subunit, ATPase 1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:39779]	16314	0.0	-0.24450721	No	
row_16	PSMA6P4	proteasome subunit alpha 6 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:39609]	18463	0.0	-0.29884842	No	
row_17	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	19980	0.0	-0.337201	No	
row_18	PSMD12	proteasome 26S subunit, non-ATPase 12 [Source:HGNC Symbol;Acc:HGNC:9557]	30023	-0.020768914371728897	-0.59048665	No	
row_19	PSMD7	proteasome 26S subunit, non-ATPase 7 [Source:HGNC Symbol;Acc:HGNC:9565]	30661	-0.10461060702800751	-0.6027631	No	
row_20	PSME1	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	31828	-0.281775563955307	-0.6219215	Yes	
row_21	PSMD14	proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]	31993	-0.30606046319007874	-0.61483955	Yes	
