NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	11	4.339991569519043	0.023506992	Yes	
row_1	FGF1	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	25	3.97912335395813	0.044985343	Yes	
row_2	CHRM2	cholinergic receptor muscarinic 2 [Source:HGNC Symbol;Acc:HGNC:1951]	40	3.823827028274536	0.06558715	Yes	
row_3	DIAPH3	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	54	3.6424176692962646	0.08522009	Yes	
row_4	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	207	2.9202747344970703	0.09736382	Yes	
row_5	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	253	2.81752872467041	0.11166279	Yes	
row_6	RRAS2	RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271]	347	2.648466110229492	0.12381571	Yes	
row_7	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	407	2.522871971130371	0.13614406	Yes	
row_8	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	410	2.517261505126953	0.14988975	Yes	
row_9	PPP1R12A	protein phosphatase 1 regulatory subunit 12A [Source:HGNC Symbol;Acc:HGNC:7618]	477	2.4054811000823975	0.16139686	Yes	
row_10	ENAH	ENAH actin regulator [Source:HGNC Symbol;Acc:HGNC:18271]	503	2.363825798034668	0.17371729	Yes	
row_11	IQGAP3	IQ motif containing GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:20669]	527	2.328566074371338	0.1858953	Yes	
row_12	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	612	2.2282023429870605	0.19597349	Yes	
row_13	FGF5	fibroblast growth factor 5 [Source:HGNC Symbol;Acc:HGNC:3683]	678	2.1423521041870117	0.20606387	Yes	
row_14	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	724	2.0937066078186035	0.21639574	Yes	
row_15	ROCK2	Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]	730	2.0905802249908447	0.22772668	Yes	
row_16	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	747	2.076190948486328	0.2386993	Yes	
row_17	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	896	1.9611711502075195	0.24568804	Yes	
row_18	FGF7	fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]	936	1.9250432252883911	0.25524792	Yes	
row_19	RDX	radixin [Source:HGNC Symbol;Acc:HGNC:9944]	993	1.880319595336914	0.26413083	Yes	
row_20	CFL2	cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]	1064	1.8156715631484985	0.2723037	Yes	
row_21	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	1241	1.7069438695907593	0.27718773	Yes	
row_22	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	1274	1.6877979040145874	0.2856252	Yes	
row_23	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	1422	1.6100479364395142	0.29071492	Yes	
row_24	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	1450	1.5919952392578125	0.2987543	Yes	
row_25	NCKAP1	NCK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7666]	1459	1.5898263454437256	0.30726454	Yes	
row_26	BDKRB1	bradykinin receptor B1 [Source:HGNC Symbol;Acc:HGNC:1029]	1522	1.558542013168335	0.3142314	Yes	
row_27	GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	1538	1.5525758266448975	0.32235962	Yes	
row_28	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	1596	1.5282796621322632	0.32928765	Yes	
row_29	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	1631	1.5119880437850952	0.33671072	Yes	
row_30	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:685]	1725	1.4711557626724243	0.34241107	Yes	
