NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL13	mitochondrial ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:14278]	3664	0.8929626941680908	-0.06866849	No	
row_1	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	3967	0.8360589146614075	-0.05372817	No	
row_2	RPL26L1	ribosomal protein L26 like 1 [Source:HGNC Symbol;Acc:HGNC:17050]	5184	0.6174517869949341	-0.067842245	No	
row_3	RPL31	ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]	5904	0.5390626192092896	-0.071487196	No	
row_4	RPS7	ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440]	6447	0.5022053122520447	-0.071645245	No	
row_5	RPL7	ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363]	6865	0.4813570976257324	-0.06920082	No	
row_6	RPS4Y1	ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]	7490	0.41761696338653564	-0.07372104	No	
row_7	RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	7750	0.4006810784339905	-0.06945481	No	
row_8	RPS15A	ribosomal protein S15a [Source:HGNC Symbol;Acc:HGNC:10389]	7916	0.3729328513145447	-0.06355764	No	
row_9	RPSA	ribosomal protein SA [Source:HGNC Symbol;Acc:HGNC:6502]	7956	0.366446316242218	-0.05464464	No	
row_10	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	8386	0.30538269877433777	-0.05725864	No	
row_11	RPL21	ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:10313]	8617	0.26880428194999695	-0.05582103	No	
row_12	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	8886	0.2267666757106781	-0.056481592	No	
row_13	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	8946	0.21719138324260712	-0.052107714	No	
row_14	RPS24	ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:10411]	8978	0.21346136927604675	-0.04712548	No	
row_15	RPL23	ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316]	8995	0.21127523481845856	-0.041822422	No	
row_16	RPL17	ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:10307]	9262	0.16725406050682068	-0.044040255	No	
row_17	RPL34	ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340]	9269	0.16658087074756622	-0.039691497	No	
row_18	RPL36AL	ribosomal protein L36a like [Source:HGNC Symbol;Acc:HGNC:10346]	9378	0.15229907631874084	-0.03831187	No	
row_19	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	9624	0.11664926260709763	-0.041365106	No	
row_20	RPS12	ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]	9692	0.10683804750442505	-0.040175382	No	
row_21	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	10292	0.017470847815275192	-0.054873668	No	
row_22	RPS27	ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416]	10374	0.003627957310527563	-0.056827057	No	
row_23	RPL27A	ribosomal protein L27a [Source:HGNC Symbol;Acc:HGNC:10329]	10380	0.002606160007417202	-0.056883276	No	
row_24	RPL10L	ribosomal protein L10 like [Source:HGNC Symbol;Acc:HGNC:17976]	14349	0.0	-0.15737714	No	
row_25	RSL24D1P11	ribosomal L24 domain containing 1 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:37881]	16131	0.0	-0.20248286	No	
