NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRAK4	interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol;Acc:HGNC:17967]	225	2.8752973079681396	0.02657639	No	
row_1	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	1224	1.7162524461746216	0.020560646	No	
row_2	TLR6	toll like receptor 6 [Source:HGNC Symbol;Acc:HGNC:16711]	1246	1.704167127609253	0.039158456	No	
row_3	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	1274	1.6877979040145874	0.057420522	No	
row_4	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	1571	1.536406397819519	0.06716891	No	
row_5	TICAM2	TIR domain containing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:21354]	1824	1.4262350797653198	0.07679519	No	
row_6	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	2420	1.206459403038025	0.0752656	No	
row_7	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]	2797	1.0859516859054565	0.07793096	No	
row_8	TLR5	toll like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851]	3183	0.9937602281570435	0.07933345	No	
row_9	TRAF6	TNF receptor associated factor 6 [Source:HGNC Symbol;Acc:HGNC:12036]	3306	0.9691697359085083	0.08712217	No	
row_10	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]	3728	0.8789881467819214	0.08632437	No	
row_11	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	3762	0.8728745579719543	0.09528669	No	
row_12	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	4087	0.8178299069404602	0.09625956	No	
row_13	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	4896	0.6694005727767944	0.08330564	No	
row_14	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	5288	0.5966522097587585	0.08009849	No	
row_15	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	5614	0.5553498864173889	0.0780996	No	
row_16	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]	5814	0.544406533241272	0.07916968	No	
row_17	TLR4	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]	6191	0.5259144902229309	0.075548455	No	
row_18	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	6361	0.5111551284790039	0.077005245	No	
row_19	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	6515	0.4903712272644043	0.07863403	No	
row_20	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	7031	0.4501056373119354	0.0706407	No	
row_21	TLR8	toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]	7224	0.42356348037719727	0.07053161	No	
row_22	IFNA8	interferon alpha 8 [Source:HGNC Symbol;Acc:HGNC:5429]	7254	0.42356348037719727	0.07455161	No	
row_23	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	7263	0.42356348037719727	0.07910358	No	
row_24	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	7264	0.42356348037719727	0.08385821	No	
row_25	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	8087	0.3456711173057556	0.06691568	No	
row_26	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	8420	0.30018624663352966	0.06187519	No	
row_27	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	8819	0.2377714365720749	0.054462172	No	
row_28	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	8847	0.2340216189622879	0.05640517	No	
row_29	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	8910	0.22284968197345734	0.05733615	No	
row_30	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	8950	0.21682237088680267	0.058782104	No	
row_31	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	9267	0.16677150130271912	0.0526493	No	
row_32	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	9285	0.16459611058235168	0.054066297	No	
row_33	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]	9350	0.15401875972747803	0.054173965	No	
row_34	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	9492	0.13620799779891968	0.05213115	No	
row_35	LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	10132	0.040647946298122406	0.036400385	No	
row_36	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	10305	0.015094544738531113	0.03221275	No	
row_37	IFNA13	interferon alpha 13 [Source:HGNC Symbol;Acc:HGNC:5419]	17635	0.0	-0.15344435	No	
row_38	IFNA14	interferon alpha 14 [Source:HGNC Symbol;Acc:HGNC:5420]	17637	0.0	-0.15346968	No	
row_39	IFNA16	interferon alpha 16 [Source:HGNC Symbol;Acc:HGNC:5421]	17638	0.0	-0.15346968	No	
row_40	IFNA17	interferon alpha 17 [Source:HGNC Symbol;Acc:HGNC:5422]	17639	0.0	-0.15346968	No	
row_41	IFNA10	interferon alpha 10 [Source:HGNC Symbol;Acc:HGNC:5418]	17645	0.0	-0.15359634	No	
row_42	IFNA21	interferon alpha 21 [Source:HGNC Symbol;Acc:HGNC:5424]	17652	0.0	-0.15374833	No	
row_43	TLR9	toll like receptor 9 [Source:HGNC Symbol;Acc:HGNC:15633]	21929	0.0	-0.26206732	No	
row_44	TLR7	toll like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631]	21931	0.0	-0.26209265	No	
row_45	IFNA5	interferon alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]	24163	0.0	-0.318608	No	
row_46	IFNA4	interferon alpha 4 [Source:HGNC Symbol;Acc:HGNC:5425]	24164	0.0	-0.318608	No	
row_47	IFNA7	interferon alpha 7 [Source:HGNC Symbol;Acc:HGNC:5428]	24165	0.0	-0.318608	No	
row_48	IFNA6	interferon alpha 6 [Source:HGNC Symbol;Acc:HGNC:5427]	24166	0.0	-0.318608	No	
row_49	IFNA1	interferon alpha 1 [Source:HGNC Symbol;Acc:HGNC:5417]	24167	0.0	-0.318608	No	
row_50	IFNA2	interferon alpha 2 [Source:HGNC Symbol;Acc:HGNC:5423]	24169	0.0	-0.31863332	No	
row_51	IFNB1	interferon beta 1 [Source:HGNC Symbol;Acc:HGNC:5434]	24191	0.0	-0.3191653	No	
row_52	IRF5	interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]	28578	0.0	-0.4302708	No	
row_53	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]	29739	0.0	-0.45965573	No	
row_54	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	29741	0.0	-0.45968106	No	
row_55	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	30674	-0.10683972388505936	-0.48209104	No	
row_56	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	30851	-0.1359519362449646	-0.48502332	No	
row_57	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	31241	-0.2012159377336502	-0.4926187	No	
row_58	TIRAP	TIR domain containing adaptor protein [Source:HGNC Symbol;Acc:HGNC:17192]	31861	-0.28597936034202576	-0.5050889	No	
row_59	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	32257	-0.34397247433662415	-0.5112338	No	
row_60	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	32301	-0.3512336313724518	-0.50838035	No	
row_61	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	33083	-0.44008684158325195	-0.5232245	No	
row_62	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	33574	-0.4959108829498291	-0.5300703	No	
row_63	FADD	Fas associated via death domain [Source:HGNC Symbol;Acc:HGNC:3573]	33742	-0.5005306005477905	-0.5286821	No	
row_64	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	34851	-0.610203206539154	-0.5499001	No	
row_65	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	35667	-0.7647125720977783	-0.5619614	Yes	
row_66	MAP2K7	mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6847]	35749	-0.7812085151672363	-0.555244	Yes	
row_67	IFNAR2	interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433]	35773	-0.7885285019874573	-0.5469752	Yes	
row_68	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]	35982	-0.8379759788513184	-0.5428377	Yes	
row_69	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	36337	-0.9096060991287231	-0.54159456	Yes	
row_70	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	36362	-0.9155852198600769	-0.5319248	Yes	
row_71	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	36395	-0.9254067540168762	-0.52234745	Yes	
row_72	TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18157]	36515	-0.9547851085662842	-0.5146442	Yes	
row_73	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	36646	-0.9829445481300354	-0.5069035	Yes	
row_74	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	37045	-1.0746461153030396	-0.5049224	Yes	
row_75	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	37090	-1.0892863273620605	-0.4938094	Yes	
row_76	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	37579	-1.2555079460144043	-0.4920779	Yes	
row_77	TOLLIP	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]	37634	-1.2732809782028198	-0.47915286	Yes	
row_78	LBP	lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]	37648	-1.2789041996002197	-0.4651261	Yes	
row_79	IRF3	interferon regulatory factor 3 [Source:HGNC Symbol;Acc:HGNC:6118]	37747	-1.3236441612243652	-0.45275033	Yes	
row_80	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	38076	-1.4804730415344238	-0.44444042	Yes	
row_81	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	38144	-1.5104753971099854	-0.42918214	Yes	
row_82	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	38180	-1.5305036306381226	-0.4128884	Yes	
row_83	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	38273	-1.5794302225112915	-0.39748937	Yes	
row_84	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	38321	-1.6120868921279907	-0.3805838	Yes	
row_85	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	38382	-1.6505796909332275	-0.3635755	Yes	
row_86	TICAM1	TIR domain containing adaptor molecule 1 [Source:HGNC Symbol;Acc:HGNC:18348]	38494	-1.730564832687378	-0.3469612	Yes	
row_87	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	38632	-1.8274548053741455	-0.32991797	Yes	
row_88	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	38979	-2.2766218185424805	-0.313127	Yes	
row_89	IRAK1	interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112]	39065	-2.420898675918579	-0.28810492	Yes	
row_90	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	39165	-2.6496009826660156	-0.26087025	Yes	
row_91	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	39266	-3.0303244590759277	-0.22938713	Yes	
row_92	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	39283	-3.0774128437042236	-0.19524759	Yes	
row_93	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	39317	-3.242025852203369	-0.15969084	Yes	
row_94	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	39539	-4.816554546356201	-0.11122194	Yes	
row_95	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	39565	-4.97961950302124	-0.05595754	Yes	
row_96	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	39571	-4.998490810394287	2.5328805E-5	Yes	
