NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	43	3.793766498565674	0.038956985	Yes	
row_1	PRKCE	protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	228	2.8692142963409424	0.06458104	Yes	
row_2	IRAG1	inositol 1,4,5-triphosphate receptor associated 1 [Source:HGNC Symbol;Acc:HGNC:7237]	310	2.7010183334350586	0.09104	Yes	
row_3	CALD1	caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441]	408	2.5192646980285645	0.11517488	Yes	
row_4	PPP1R12A	protein phosphatase 1 regulatory subunit 12A [Source:HGNC Symbol;Acc:HGNC:7618]	477	2.4054811000823975	0.13884363	Yes	
row_5	PPP1R12B	protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]	563	2.2864913940429688	0.1608255	Yes	
row_6	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	612	2.2282023429870605	0.18312977	Yes	
row_7	ACTG2	actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]	625	2.217924118041992	0.20623791	Yes	
row_8	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	629	2.214057683944702	0.22953333	Yes	
row_9	ROCK2	Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]	730	2.0905802249908447	0.24906702	Yes	
row_10	ADRA1B	adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]	917	1.9438303709030151	0.2648721	Yes	
row_11	KCNMB3	potassium calcium-activated channel subfamily M regulatory beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:6287]	1073	1.807148814201355	0.28002003	Yes	
row_12	PLA2G12A	phospholipase A2 group XIIA [Source:HGNC Symbol;Acc:HGNC:18554]	1088	1.8004114627838135	0.29867023	Yes	
row_13	ACTA2	actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]	1218	1.7207709550857544	0.31356528	Yes	
row_14	RAMP1	receptor activity modifying protein 1 [Source:HGNC Symbol;Acc:HGNC:9843]	1230	1.7120252847671509	0.33135852	Yes	
