NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	125	0.61085737	1.6466604	0.0	0.1031075	0.124	5490	tags=54%, list=14%, signal=63%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	36	0.65902555	1.4761546	0.025878003	0.5442996	0.752	4827	tags=50%, list=12%, signal=57%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Details ...	44	0.63859314	1.4612329	0.021072797	0.4261992	0.805	3741	tags=48%, list=9%, signal=53%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM	Details ...	34	0.65616566	1.4326174	0.02661597	0.42074704	0.885	5204	tags=50%, list=13%, signal=58%	
KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS	Details ...	30	0.6586263	1.4133244	0.046184737	0.40500522	0.922	3488	tags=37%, list=9%, signal=40%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	23	0.66755456	1.3661133	0.08350305	0.5140046	0.986	4631	tags=57%, list=12%, signal=64%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM	Details ...	32	0.6160745	1.3383944	0.076481834	0.5518536	0.996	6941	tags=59%, list=18%, signal=72%	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	Details ...	15	0.711408	1.3078649	0.16	0.6171885	0.998	5462	tags=60%, list=14%, signal=70%	
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	Details ...	22	0.65310967	1.3056145	0.109869644	0.5578927	0.999	2337	tags=36%, list=6%, signal=39%	
KEGG_MELANOMA	KEGG_MELANOMA	Details ...	71	0.5181638	1.2905576	0.054580897	0.5650425	1.0	5614	tags=39%, list=14%, signal=46%	
