NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	132	-0.63480425	-1.7510852	0.0	0.022428103	0.017	6406	tags=55%, list=16%, signal=65%	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	254	-0.5494267	-1.6282191	0.0	0.12464509	0.177	4506	tags=27%, list=11%, signal=30%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	130	-0.5791274	-1.5800972	0.0	0.17133969	0.337	6406	tags=52%, list=16%, signal=61%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	Details ...	37	-0.69346064	-1.5514522	0.012847966	0.19326054	0.467	3337	tags=27%, list=8%, signal=29%	
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY	Details ...	76	-0.598038	-1.5381768	0.0	0.18263084	0.522	5504	tags=46%, list=14%, signal=53%	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	60	-0.6220513	-1.535351	0.004415011	0.15820575	0.536	3237	tags=33%, list=8%, signal=36%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	Details ...	85	-0.59404314	-1.5271182	0.0	0.14778516	0.566	4648	tags=32%, list=12%, signal=36%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	97	-0.57054555	-1.517627	0.0044345898	0.14347003	0.606	3907	tags=33%, list=10%, signal=37%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	Details ...	22	-0.751173	-1.5154108	0.020576132	0.13109982	0.613	4908	tags=59%, list=12%, signal=67%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	45	-0.6322612	-1.4939064	0.023157895	0.14748633	0.689	7746	tags=56%, list=20%, signal=69%	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	Details ...	177	-0.5223525	-1.4756451	0.0	0.16212925	0.754	3907	tags=27%, list=10%, signal=30%	
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	Details ...	21	-0.71931165	-1.473782	0.025423728	0.15157436	0.763	6282	tags=57%, list=16%, signal=68%	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	88	-0.565084	-1.4726735	0.002	0.14167762	0.766	8646	tags=61%, list=22%, signal=78%	
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	Details ...	50	-0.5950685	-1.4355505	0.017167382	0.1880257	0.883	4973	tags=36%, list=13%, signal=41%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	Details ...	154	-0.50425506	-1.4139147	0.011261261	0.21200863	0.92	4554	tags=23%, list=12%, signal=26%	
