NAME	TITLE	SCORE	
TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	4.9174333	
OXTR	oxytocin receptor [Source:HGNC Symbol;Acc:HGNC:8529]	4.793164	
KCNE1	potassium voltage-gated channel subfamily E regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:6240]	4.5948014	
NLRP10	NLR family pyrin domain containing 10 [Source:HGNC Symbol;Acc:HGNC:21464]	4.5669346	
TEX26	testis expressed 26 [Source:HGNC Symbol;Acc:HGNC:28622]	4.546951	
MYBL1	MYB proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:7547]	4.475149	
DLEU2	deleted in lymphocytic leukemia 2 [Source:HGNC Symbol;Acc:HGNC:13748]	4.4378777	
TNFSF4	TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934]	4.4142184	
CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	4.4083533	
GPRC5A	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]	4.3938375	
C21orf140	chromosome 21 open reading frame 140 [Source:HGNC Symbol;Acc:HGNC:39602]	4.3916335	
EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	4.3399916	
MEST	mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]	4.2298574	
LZTS1	leucine zipper tumor suppressor 1 [Source:HGNC Symbol;Acc:HGNC:13861]	4.21811	
CCDC80	coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]	4.185226	
ATP8B1	ATPase phospholipid transporting 8B1 [Source:HGNC Symbol;Acc:HGNC:3706]	4.1516976	
LRRC78P	leucine rich repeat containing 78, pseudogene [Source:HGNC Symbol;Acc:HGNC:54091]	4.145948	
STXBP6	syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]	4.133075	
PPP1R12A-AS2	PPP1R12A antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:55456]	4.123382	
GALNT15	polypeptide N-acetylgalactosaminyltransferase 15 [Source:HGNC Symbol;Acc:HGNC:21531]	4.054979	
CAVIN2	caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]	4.0331354	
GASK1B	golgi associated kinase 1B [Source:HGNC Symbol;Acc:HGNC:25312]	4.0324917	
KCNIP2-AS1	KCNIP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48680]	3.9956546	
SCN9A	sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]	3.9922585	
PRICKLE1	prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]	3.9793477	
FGF1	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	3.9791234	
MATN2	matrilin 2 [Source:HGNC Symbol;Acc:HGNC:6908]	3.9788544	
GMNC	geminin coiled-coil domain containing [Source:HGNC Symbol;Acc:HGNC:40049]	3.978527	
ANO1-AS1	ANO1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40016]	3.943456	
RGMB-AS1	RGMB antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48666]	3.9363863	
CD200	CD200 molecule [Source:HGNC Symbol;Acc:HGNC:7203]	3.9271162	
TMEM178B	transmembrane protein 178B [Source:HGNC Symbol;Acc:HGNC:44112]	3.9205816	
LINC02256	long intergenic non-protein coding RNA 2256 [Source:HGNC Symbol;Acc:HGNC:53157]	3.9098456	
ADAMTSL1	ADAMTS like 1 [Source:HGNC Symbol;Acc:HGNC:14632]	3.9066372	
E2F8	E2F transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24727]	3.884696	
XRCC4	X-ray repair cross complementing 4 [Source:HGNC Symbol;Acc:HGNC:12831]	3.87846	
CPA4	carboxypeptidase A4 [Source:HGNC Symbol;Acc:HGNC:15740]	3.8706007	
KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	3.851059	
VGLL3	vestigial like family member 3 [Source:HGNC Symbol;Acc:HGNC:24327]	3.846864	
ZNF367	zinc finger protein 367 [Source:HGNC Symbol;Acc:HGNC:18320]	3.8291519	
CHRM2	cholinergic receptor muscarinic 2 [Source:HGNC Symbol;Acc:HGNC:1951]	3.823827	
ZBTB18	zinc finger and BTB domain containing 18 [Source:HGNC Symbol;Acc:HGNC:13030]	3.804157	
UNC5C	unc-5 netrin receptor C [Source:HGNC Symbol;Acc:HGNC:12569]	3.8012223	
PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	3.7937665	
GXYLT2	glucoside xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:33383]	3.783402	
GAL3ST4	galactose-3-O-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:24145]	3.7829816	
PSMD6-AS2	PSMD6 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:44125]	3.7598414	
BARD1	BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]	3.7562163	
KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	3.7315192	
ANKRD33B	ankyrin repeat domain 33B [Source:HGNC Symbol;Acc:HGNC:35240]	3.7306807	
OSR1	odd-skipped related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8111]	3.723554	
UTRN	utrophin [Source:HGNC Symbol;Acc:HGNC:12635]	3.7128358	
SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	3.6884649	
COBLL1	cordon-bleu WH2 repeat protein like 1 [Source:HGNC Symbol;Acc:HGNC:23571]	3.6470969	
DIAPH3	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	3.6424177	
ARSJ	arylsulfatase family member J [Source:HGNC Symbol;Acc:HGNC:26286]	3.6382554	
SH2D5	SH2 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28819]	3.616934	
UCP2	uncoupling protein 2 [Source:HGNC Symbol;Acc:HGNC:12518]	3.6151996	
KCNH2	potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]	3.602023	
CASS4	Cas scaffold protein family member 4 [Source:HGNC Symbol;Acc:HGNC:15878]	3.5891116	
TMEM47	transmembrane protein 47 [Source:HGNC Symbol;Acc:HGNC:18515]	3.585497	
CCDC81	coiled-coil domain containing 81 [Source:HGNC Symbol;Acc:HGNC:26281]	3.5323937	
BNC2	basonuclin 2 [Source:HGNC Symbol;Acc:HGNC:30988]	3.5278926	
LIN7A	lin-7 homolog A, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:17787]	3.5210881	
NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	3.5175807	
PAWR	pro-apoptotic WT1 regulator [Source:HGNC Symbol;Acc:HGNC:8614]	3.5148659	
TRIM22	tripartite motif containing 22 [Source:HGNC Symbol;Acc:HGNC:16379]	3.509615	
ZFPM2	zinc finger protein, FOG family member 2 [Source:HGNC Symbol;Acc:HGNC:16700]	3.5094414	
CAMK2D	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	3.506473	
ARHGAP29	Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:HGNC:30207]	3.502686	
SFRP1	secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]	3.4850886	
HHEX	hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]	3.4836783	
