NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPRB	protein tyrosine phosphatase receptor type B [Source:HGNC Symbol;Acc:HGNC:9665]	19	3.9821250438690186	0.062260255	Yes	
row_1	LMO7	LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646]	102	3.2010135650634766	0.10997795	Yes	
row_2	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	173	2.911123752593994	0.15353395	Yes	
row_3	NECTIN3	nectin cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17664]	352	2.4596519470214844	0.18618493	Yes	
row_4	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	568	2.09627103805542	0.21180198	Yes	
row_5	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	799	1.8573650121688843	0.23312019	Yes	
row_6	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	969	1.7305681705474854	0.2545648	Yes	
row_7	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	1131	1.6144942045211792	0.27445456	Yes	
row_8	PTPRM	protein tyrosine phosphatase receptor type M [Source:HGNC Symbol;Acc:HGNC:9675]	1223	1.55275297164917	0.29581296	Yes	
row_9	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	1280	1.5217618942260742	0.31790376	Yes	
row_10	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	1417	1.4516761302947998	0.3360937	Yes	
row_11	CTNND1	catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]	1857	1.2374966144561768	0.3403193	Yes	
row_12	PARD3	par-3 family cell polarity regulator [Source:HGNC Symbol;Acc:HGNC:16051]	2101	1.1569468975067139	0.3501159	Yes	
row_13	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	2371	1.0623364448547363	0.35750967	Yes	
row_14	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	2549	1.017928123474121	0.36741412	Yes	
row_15	SSX2IP	SSX family member 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:16509]	2643	0.9938740730285645	0.37987152	Yes	
row_16	TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	2659	0.9880006313323975	0.3949597	Yes	
row_17	IQGAP1	IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]	2894	0.9240245819091797	0.40139002	Yes	
