NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	137	3.064239740371704	0.019576488	Yes	
row_1	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	149	3.0012102127075195	0.043059472	Yes	
row_2	ANAPC4	anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]	293	2.5783371925354004	0.05856182	Yes	
row_3	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	301	2.56337308883667	0.07870273	Yes	
row_4	CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	322	2.5269429683685303	0.098099165	Yes	
row_5	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	380	2.392045259475708	0.11512845	Yes	
row_6	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	418	2.3377974033355713	0.13242596	Yes	
row_7	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	454	2.258049488067627	0.14915922	Yes	
row_8	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	498	2.198716402053833	0.16514076	Yes	
row_9	ORC1	origin recognition complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:8487]	519	2.1648757457733154	0.18165778	Yes	
row_10	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	538	2.13993763923645	0.19804643	Yes	
row_11	CCNE2	cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]	565	2.099135160446167	0.21383072	Yes	
row_12	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	591	2.0572926998138428	0.22931725	Yes	
row_13	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	626	2.021790027618408	0.24420659	Yes	
row_14	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	642	2.0069925785064697	0.2596429	Yes	
row_15	DBF4	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]	659	1.987450361251831	0.27488884	Yes	
row_16	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	729	1.924369215965271	0.28777903	Yes	
row_17	SKP2	S-phase kinase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10901]	821	1.8364686965942383	0.2992006	Yes	
row_18	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	828	1.8301535844802856	0.31354538	Yes	
row_19	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	852	1.8094639778137207	0.32713097	Yes	
row_20	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	969	1.7305681705474854	0.33683574	Yes	
row_21	CDC25C	cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]	1008	1.700040578842163	0.34902638	Yes	
row_22	MCM3	minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]	1088	1.6481685638427734	0.3593702	Yes	
row_23	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	1244	1.539839267730713	0.3661939	Yes	
row_24	MDM2	MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]	1261	1.5323456525802612	0.3778205	Yes	
row_25	ORC3	origin recognition complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:8489]	1358	1.4825286865234375	0.38625234	Yes	
row_26	PTTG1	PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]	1369	1.4775112867355347	0.39765275	Yes	
row_27	STAG2	stromal antigen 2 [Source:HGNC Symbol;Acc:HGNC:11355]	1391	1.469856858253479	0.40860748	Yes	
row_28	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1582	1.3624316453933716	0.41279593	Yes	
row_29	CDC14B	cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]	1639	1.3313944339752197	0.42142513	Yes	
row_30	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	1643	1.3291466236114502	0.43189052	Yes	
row_31	ORC6	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	1735	1.2951778173446655	0.43900734	Yes	
row_32	STAG1	stromal antigen 1 [Source:HGNC Symbol;Acc:HGNC:11354]	1813	1.260663390159607	0.4463394	Yes	
row_33	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	1865	1.2330163717269897	0.45436114	Yes	
row_34	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	1883	1.22703218460083	0.4635247	Yes	
row_35	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	1915	1.2193766832351685	0.4721376	Yes	
row_36	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	2065	1.1668142080307007	0.47620463	Yes	
row_37	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	2133	1.1442962884902954	0.4829611	Yes	
row_38	CCNB1	cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]	2534	1.0200674533843994	0.47708052	Yes	
row_39	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	2584	1.0078188180923462	0.4833813	Yes	
row_40	ATR	ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]	2656	0.989126443862915	0.4887638	Yes	
row_41	CCNH	cyclin H [Source:HGNC Symbol;Acc:HGNC:1594]	2790	0.9504974484443665	0.49167022	Yes	
row_42	WEE1	WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]	2826	0.9430374503135681	0.49794558	Yes	
row_43	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	2856	0.9350177049636841	0.50436705	Yes	
row_44	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2859	0.9342029690742493	0.5117265	Yes	
row_45	CDC7	cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]	2943	0.9113683700561523	0.51607084	Yes	
row_46	CDC23	cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]	2982	0.9012218117713928	0.5219087	Yes	
row_47	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	3060	0.881915271282196	0.5262287	Yes	
row_48	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	3117	0.8678366541862488	0.5311714	Yes	
row_49	CDC45	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	3166	0.8530081510543823	0.5362759	Yes	
row_50	E2F5	E2F transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3119]	3466	0.7927486300468445	0.5321208	Yes	
row_51	CDC16	cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]	3549	0.7735168933868408	0.53540385	Yes	
row_52	SMC1A	structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]	3610	0.7608789205551147	0.53935593	Yes	
row_53	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	3675	0.7489691972732544	0.5430734	Yes	
row_54	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	3693	0.7441892623901367	0.54839706	Yes	
row_55	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	3750	0.7343623042106628	0.5522782	Yes	
row_56	CDK7	cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]	4128	0.6558976173400879	0.54430616	Yes	
row_57	TFDP1	transcription factor Dp-1 [Source:HGNC Symbol;Acc:HGNC:11749]	4131	0.6546788215637207	0.54944265	Yes	
row_58	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	4139	0.6528684496879578	0.55438983	Yes	
row_59	CDC14A	cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718]	4299	0.6215700507164001	0.5537709	No	
row_60	RBL2	RB transcriptional corepressor like 2 [Source:HGNC Symbol;Acc:HGNC:9894]	4670	0.5560019612312317	0.5452492	No	
row_61	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	4770	0.546322762966156	0.5461307	No	
row_62	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]	5085	0.5202569365501404	0.53928375	No	
row_63	SKP1	S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]	5102	0.5174441933631897	0.54283917	No	
row_64	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	5274	0.5087485313415527	0.54090315	No	
row_65	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	5360	0.49219074845314026	0.5418439	No	
row_66	CHEK1	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]	5620	0.47399231791496277	0.5365531	No	
row_67	ANAPC1	anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]	5629	0.4730384349822998	0.5400351	No	
row_68	ANAPC13	anaphase promoting complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:24540]	5874	0.43187567591667175	0.5349341	No	
row_69	PRKDC	protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]	5897	0.42851677536964417	0.5375723	No	
row_70	SMC1B	structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112]	5966	0.42459407448768616	0.5385702	No	
row_71	ORC4	origin recognition complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:8490]	6301	0.4147372543811798	0.5301845	No	
row_72	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	6322	0.41136252880096436	0.5327563	No	
row_73	ORC5	origin recognition complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:8491]	6392	0.3983696699142456	0.5335106	No	
row_74	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	6432	0.3935491144657135	0.5352761	No	
row_75	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	6464	0.38706663250923157	0.53726995	No	
row_76	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]	6835	0.32104068994522095	0.52687967	No	
row_77	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	6896	0.31127944588661194	0.52725625	No	
row_78	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	7061	0.28179797530174255	0.52376026	No	
row_79	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	7126	0.2709967792034149	0.5236766	No	
row_80	ANAPC7	anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]	7169	0.2646067440509796	0.52431166	No	
row_81	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	7198	0.2591562569141388	0.5253931	No	
row_82	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	7260	0.25098520517349243	0.52525526	No	
row_83	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	7411	0.2245347797870636	0.5217936	No	
row_84	ANAPC11	anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452]	7514	0.2103099524974823	0.51989794	No	
row_85	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	7546	0.20577801764011383	0.52045	No	
row_86	BUB3	BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]	7559	0.2040935754776001	0.5216533	No	
row_87	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]	7573	0.20275448262691498	0.522811	No	
row_88	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	7695	0.1810409277677536	0.5200179	No	
row_89	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	7710	0.17949239909648895	0.5209556	No	
row_90	TFDP2	transcription factor Dp-2 [Source:HGNC Symbol;Acc:HGNC:11751]	7786	0.1671553999185562	0.5196613	No	
row_91	ANAPC5	anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]	8342	0.07751370221376419	0.50086266	No	
row_92	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	8366	0.07422090321779251	0.5006483	No	
row_93	WEE2	WEE2 oocyte meiosis inhibiting kinase [Source:HGNC Symbol;Acc:HGNC:19684]	9757	0.0	0.4520231	No	
row_94	SKP1P2	S-phase kinase associated protein 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:10900]	10743	0.0	0.41756567	No	
row_95	PTTG2	pituitary tumor-transforming 2 [Source:HGNC Symbol;Acc:HGNC:9691]	18197	0.0	0.15684363	No	
row_96	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	20667	-0.022683721035718918	0.07065307	No	
