NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL14	C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640]	17	4.007242679595947	0.022657046	No	
row_1	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	61	3.498788833618164	0.041452456	No	
row_2	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	75	3.3568074703216553	0.06047541	No	
row_3	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	320	2.5288710594177246	0.0665982	No	
row_4	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	426	2.321038007736206	0.07638655	No	
row_5	ROCK2	Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]	597	2.0512232780456543	0.08233118	No	
row_6	GNB4	G protein subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:20731]	817	1.8405708074569702	0.08533614	No	
row_7	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	876	1.789946436882019	0.09368994	No	
row_8	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	930	1.7532439231872559	0.102006	No	
row_9	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	1112	1.628165364265442	0.105110236	No	
row_10	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	1128	1.6166445016860962	0.11396544	No	
row_11	GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	1227	1.5508018732070923	0.119529665	No	
row_12	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	1235	1.5452014207839966	0.12825067	No	
row_13	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	1571	1.3656243085861206	0.1244342	No	
row_14	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]	1753	1.2854950428009033	0.12555002	No	
row_15	NRAS	NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]	1834	1.2518084049224854	0.13001013	No	
row_16	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	1844	1.2447906732559204	0.13691786	No	
row_17	GNG10	G protein subunit gamma 10 [Source:HGNC Symbol;Acc:HGNC:4402]	1953	1.2076138257980347	0.14014019	No	
row_18	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	1965	1.2040904760360718	0.14674166	No	
row_19	PARD3	par-3 family cell polarity regulator [Source:HGNC Symbol;Acc:HGNC:16051]	2101	1.1569468975067139	0.1487237	No	
row_20	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	2588	1.0064958333969116	0.1375312	No	
row_21	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	2701	0.9747797846794128	0.13926227	No	
row_22	RAP1A	RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]	3094	0.8738218545913696	0.13059433	No	
row_23	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	3113	0.8686802387237549	0.13500418	No	
row_24	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	3144	0.8608376979827881	0.13894795	No	
row_25	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	3267	0.8344761729240417	0.13951442	No	
row_26	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	3418	0.8029213547706604	0.13891646	No	
row_27	WASL	WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735]	3545	0.7737103700637817	0.13899013	No	
row_28	PRKACB	protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]	4126	0.6561284065246582	0.12247012	No	
row_29	GNG4	G protein subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:4407]	4161	0.6490643620491028	0.12504484	No	
row_30	RAP1B	RAP1B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9857]	4353	0.6115932464599609	0.12189974	No	
row_31	ITK	IL2 inducible T cell kinase [Source:HGNC Symbol;Acc:HGNC:6171]	4378	0.6061380505561829	0.124575846	No	
row_32	GNB3	G protein subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:4400]	4408	0.5981369614601135	0.12703028	No	
row_33	ADCY5	adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]	4592	0.5649992823600769	0.12389519	No	
