NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFSF4	TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934]	3	4.308008193969727	0.017103352	No	
row_1	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	5	4.2461676597595215	0.034029957	No	
row_2	CXCL14	C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640]	17	4.007242679595947	0.049650744	No	
row_3	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	32	3.7153594493865967	0.06400015	No	
row_4	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	61	3.498788833618164	0.076992474	No	
row_5	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	173	2.911123752593994	0.084720634	No	
row_6	GDF5	growth differentiation factor 5 [Source:HGNC Symbol;Acc:HGNC:4220]	209	2.7924299240112305	0.09464535	No	
row_7	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	290	2.590290069580078	0.10218126	No	
row_8	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	320	2.5288710594177246	0.11126401	No	
row_9	BMPR1A	bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]	529	2.153254985809326	0.11255614	No	
row_10	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	538	2.13993763923645	0.120823205	No	
row_11	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	630	2.0156548023223877	0.12567714	No	
row_12	LEPR	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	647	1.9963451623916626	0.13308948	No	
row_13	KITLG	KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]	753	1.9032410383224487	0.1370024	No	
row_14	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	1038	1.6823676824569702	0.13374282	No	
row_15	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	1156	1.6010562181472778	0.13602693	No	
row_16	IL11RA	interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]	1714	1.304063320159912	0.12166275	No	
row_17	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	1738	1.2919185161590576	0.12601522	No	
row_18	TNFSF12	TNF superfamily member 12 [Source:HGNC Symbol;Acc:HGNC:11927]	2039	1.1783794164657593	0.120180145	No	
row_19	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	2058	1.171226978302002	0.1242262	No	
row_20	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	2065	1.1668142080307007	0.12867631	No	
row_21	EDA2R	ectodysplasin A2 receptor [Source:HGNC Symbol;Acc:HGNC:17756]	2108	1.154396414756775	0.13181175	No	
row_22	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	2169	1.1290804147720337	0.13421354	No	
row_23	IL20RA	interleukin 20 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6003]	2742	0.9628900289535522	0.117959395	No	
row_24	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	2854	0.9354593753814697	0.11779556	No	
row_25	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	2862	0.9335623979568481	0.121278785	No	
row_26	TNFRSF10C	TNF receptor superfamily member 10c [Source:HGNC Symbol;Acc:HGNC:11906]	3014	0.8934963941574097	0.11954169	No	
row_27	IL12RB2	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	3106	0.8701187968254089	0.11981966	No	
row_28	GHR	growth hormone receptor [Source:HGNC Symbol;Acc:HGNC:4263]	3199	0.8457192778587341	0.119965024	No	
row_29	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	3616	0.7602565288543701	0.1083834	No	
row_30	TNFSF13B	TNF superfamily member 13b [Source:HGNC Symbol;Acc:HGNC:11929]	3800	0.7241847515106201	0.10484547	No	
row_31	PDGFA	platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]	3834	0.7166233062744141	0.10654845	No	
