NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	381	2.385864496231079	0.042572785	No	
row_1	POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]	613	2.032839298248291	0.08211315	No	
row_2	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	2601	1.0026832818984985	0.036259335	No	
row_3	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	2701	0.9747797846794128	0.05563022	No	
row_4	POLR3G	RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]	3853	0.7138934135437012	0.03218473	No	
row_5	POLR3F	RNA polymerase III subunit F [Source:HGNC Symbol;Acc:HGNC:15763]	4055	0.6688039898872375	0.04083184	No	
row_6	POLR3GL	RNA polymerase III subunit GL [Source:HGNC Symbol;Acc:HGNC:28466]	4135	0.6538524031639099	0.053385798	No	
row_7	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	4309	0.6193062663078308	0.061850883	No	
row_8	IFNA8	interferon alpha 8 [Source:HGNC Symbol;Acc:HGNC:5429]	5970	0.42459407448768616	0.013870645	No	
row_9	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	6613	0.3592188060283661	-1.1928035E-4	No	
row_10	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	7868	0.15330815315246582	-0.040285327	No	
row_11	TREX1	three prime repair exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:12269]	8591	0.03616875410079956	-0.06463119	No	
row_12	AIM2	absent in melanoma 2 [Source:HGNC Symbol;Acc:HGNC:357]	10500	0.0	-0.13120712	No	
row_13	IFNA5	interferon alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]	11328	0.0	-0.16006368	No	
row_14	IFNA4	interferon alpha 4 [Source:HGNC Symbol;Acc:HGNC:5425]	11329	0.0	-0.16006368	No	
row_15	IFNA7	interferon alpha 7 [Source:HGNC Symbol;Acc:HGNC:5428]	11330	0.0	-0.16006368	No	
row_16	IFNA6	interferon alpha 6 [Source:HGNC Symbol;Acc:HGNC:5427]	11331	0.0	-0.16006368	No	
row_17	IFNA1	interferon alpha 1 [Source:HGNC Symbol;Acc:HGNC:5417]	11332	0.0	-0.16006368	No	
row_18	IFNA2	interferon alpha 2 [Source:HGNC Symbol;Acc:HGNC:5423]	11334	0.0	-0.16009858	No	
row_19	IFNB1	interferon beta 1 [Source:HGNC Symbol;Acc:HGNC:5434]	11356	0.0	-0.16083133	No	
row_20	IFNA13	interferon alpha 13 [Source:HGNC Symbol;Acc:HGNC:5419]	13254	0.0	-0.22702345	No	
row_21	IFNA14	interferon alpha 14 [Source:HGNC Symbol;Acc:HGNC:5420]	13256	0.0	-0.22705834	No	
