NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	137	3.064239740371704	0.09125071	Yes	
row_1	DNA2	DNA replication helicase/nuclease 2 [Source:HGNC Symbol;Acc:HGNC:2939]	340	2.4821345806121826	0.1619924	Yes	
row_2	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	819	1.839340329170227	0.20296483	Yes	
row_3	MCM3	minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]	1088	1.6481685638427734	0.24526969	Yes	
row_4	POLD3	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]	1099	1.6380391120910645	0.2962545	Yes	
row_5	RFC1	replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]	1109	1.6289297342300415	0.34698868	Yes	
row_6	RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	1143	1.606630802154541	0.3961871	Yes	
row_7	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	1244	1.539839267730713	0.44095585	Yes	
row_8	RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	1385	1.4720290899276733	0.48220462	Yes	
row_9	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	2120	1.1496504545211792	0.4926356	Yes	
row_10	POLA1	DNA polymerase alpha 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9173]	2409	1.052260160446167	0.5155682	Yes	
row_11	PRIM2	DNA primase subunit 2 [Source:HGNC Symbol;Acc:HGNC:9370]	2475	1.0347408056259155	0.5457285	Yes	
row_12	RNASEH2B	ribonuclease H2 subunit B [Source:HGNC Symbol;Acc:HGNC:25671]	3410	0.8051340579986572	0.5383882	Yes	
row_13	PRIM1	DNA primase subunit 1 [Source:HGNC Symbol;Acc:HGNC:9369]	3468	0.7922800779342651	0.5612292	Yes	
row_14	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	3750	0.7343623042106628	0.57444346	Yes	
row_15	RNASEH2A	ribonuclease H2 subunit A [Source:HGNC Symbol;Acc:HGNC:18518]	4026	0.6751024723052979	0.58600986	Yes	
row_16	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	5274	0.5087485313415527	0.5584659	No	
row_17	LIG1	DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]	6827	0.32315054535865784	0.5144691	No	
row_18	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	7022	0.28952687978744507	0.516777	No	
row_19	RNASEH1	ribonuclease H1 [Source:HGNC Symbol;Acc:HGNC:18466]	7157	0.26616501808166504	0.52044505	No	
row_20	POLE2	DNA polymerase epsilon 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9178]	7495	0.21216827630996704	0.5153417	No	
row_21	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	7710	0.17949239909648895	0.51350373	No	
row_22	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	8777	0.0030495021492242813	0.47642407	No	
row_23	SSBP1	single stranded DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317]	20659	-0.021210676059126854	0.06275573	No	
row_24	POLE4	DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]	20845	-0.0468762069940567	0.05777314	No	
row_25	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	21040	-0.08087829500436783	0.053542264	No	
row_26	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	21398	-0.1358974575996399	0.045351204	No	
row_27	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	21819	-0.20816819369792938	0.03722796	No	
row_28	RPA4	replication protein A4 [Source:HGNC Symbol;Acc:HGNC:30305]	22539	-0.3317255973815918	0.022549601	No	
row_29	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	23563	-0.47345075011253357	0.0017111178	No	
row_30	POLD2	DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]	24389	-0.5567715167999268	-0.0096112555	No	
row_31	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	24687	-0.6134001612663269	-7.457263E-4	No	
row_32	RNASEH2C	ribonuclease H2 subunit C [Source:HGNC Symbol;Acc:HGNC:24116]	25193	-0.7317367196083069	0.0045745773	No	
row_33	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	26651	-1.1077935695648193	-0.011519749	No	
row_34	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	27086	-1.2853847742080688	0.01362703	No	
row_35	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	27258	-1.3712459802627563	0.05063631	No	
