NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	5	4.2461676597595215	0.046406433	No	
row_1	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	189	2.864330768585205	0.07143535	No	
row_2	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	355	2.4466331005096436	0.092510894	No	
row_3	KITLG	KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]	753	1.9032410383224487	0.09952026	No	
row_4	CD1E	CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]	842	1.8150957822799683	0.116357796	No	
row_5	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	1606	1.3533730506896973	0.10454855	No	
row_6	IL11RA	interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]	1714	1.304063320159912	0.11511621	No	
row_7	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	1738	1.2919185161590576	0.12848523	No	
row_8	CD1A	CD1a molecule [Source:HGNC Symbol;Acc:HGNC:1634]	3246	0.8366830945014954	0.08501565	No	
row_9	CD37	CD37 molecule [Source:HGNC Symbol;Acc:HGNC:1666]	3620	0.7596437931060791	0.08031803	No	
row_10	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	3839	0.7162764072418213	0.08055971	No	
row_11	GP5	glycoprotein V platelet [Source:HGNC Symbol;Acc:HGNC:4443]	4121	0.6570015549659729	0.07795018	No	
row_12	CD3D	CD3 delta subunit of T-cell receptor complex [Source:HGNC Symbol;Acc:HGNC:1673]	4206	0.6412497758865356	0.08205019	No	
row_13	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	4665	0.5564520955085754	0.07215399	No	
row_14	ITGA1	integrin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6134]	4769	0.5466560125350952	0.07455251	No	
row_15	CD3G	CD3 gamma subunit of T-cell receptor complex [Source:HGNC Symbol;Acc:HGNC:1675]	5109	0.5164541006088257	0.06837489	No	
row_16	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	5152	0.5132485628128052	0.072538	No	
row_17	CD33	CD33 molecule [Source:HGNC Symbol;Acc:HGNC:1659]	5168	0.5132485628128052	0.077644385	No	
row_18	CD1B	CD1b molecule [Source:HGNC Symbol;Acc:HGNC:1635]	5463	0.4862547516822815	0.07270757	No	
row_19	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	5947	0.42459407448768616	0.060491484	No	
row_20	CD5	CD5 molecule [Source:HGNC Symbol;Acc:HGNC:1685]	6020	0.41998815536499023	0.06258345	No	
row_21	IL9R	interleukin 9 receptor [Source:HGNC Symbol;Acc:HGNC:6030]	6056	0.41998815536499023	0.06596803	No	
row_22	FLT3LG	fms related receptor tyrosine kinase 3 ligand [Source:HGNC Symbol;Acc:HGNC:3766]	6998	0.29562944173812866	0.03633662	No	
row_23	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	7159	0.2660180926322937	0.033665165	No	
row_24	CD3E	CD3 epsilon subunit of T-cell receptor complex [Source:HGNC Symbol;Acc:HGNC:1674]	7316	0.2403285950422287	0.030851634	No	
row_25	FCGR1A	Fc gamma receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]	7367	0.23240850865840912	0.031654406	No	
row_26	DNTT	DNA nucleotidylexotransferase [Source:HGNC Symbol;Acc:HGNC:2983]	7818	0.16127650439739227	0.01770256	No	
row_27	MS4A1	membrane spanning 4-domains A1 [Source:HGNC Symbol;Acc:HGNC:7315]	9620	0.0	-0.04521667	No	
row_28	GYPA	glycophorin A (MNS blood group) [Source:HGNC Symbol;Acc:HGNC:4702]	10089	0.0	-0.061566584	No	
row_29	CSF2RA	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	10130	0.0	-0.062964015	No	
row_30	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	11788	0.0	-0.12085249	No	
row_31	CR2	complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]	11941	0.0	-0.12616272	No	
row_32	CR1	complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334]	11942	0.0	-0.12616272	No	
row_33	GP9	glycoprotein IX platelet [Source:HGNC Symbol;Acc:HGNC:4444]	12703	0.0	-0.15271387	No	
row_34	IL5RA	interleukin 5 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6017]	12725	0.0	-0.15344752	No	
row_35	IL4	interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014]	13020	0.0	-0.16371863	No	
row_36	IL3	interleukin 3 [Source:HGNC Symbol;Acc:HGNC:6011]	13021	0.0	-0.16371863	No	
row_37	IL5	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]	13022	0.0	-0.16371863	No	
row_38	HLA-DRB5	major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]	13204	0.0	-0.170042	No	
row_39	HLA-DRB4	major histocompatibility complex, class II, DR beta 4 [Source:HGNC Symbol;Acc:HGNC:4952]	13206	0.0	-0.17007692	No	
row_40	HLA-DRB3	major histocompatibility complex, class II, DR beta 3 [Source:HGNC Symbol;Acc:HGNC:4951]	13218	0.0	-0.17046122	No	
row_41	THPO	thrombopoietin [Source:HGNC Symbol;Acc:HGNC:11795]	14788	0.0	-0.22527535	No	
row_42	CD1C	CD1c molecule [Source:HGNC Symbol;Acc:HGNC:1636]	17008	0.0	-0.3027977	No	
row_43	CD8B	CD8b molecule [Source:HGNC Symbol;Acc:HGNC:1707]	17070	0.0	-0.30492878	No	
row_44	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	17071	0.0	-0.30492878	No	
row_45	CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	19775	0.0	-0.39936003	No	
row_46	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	19953	0.0	-0.40554366	No	
row_47	FLT3	fms related receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	20233	0.0	-0.4152907	No	
row_48	IL3RA	interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012]	20701	-0.028076449409127235	-0.4312977	No	
row_49	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	20781	-0.0377710722386837	-0.43364328	No	
row_50	CD34	CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]	21311	-0.12432234734296799	-0.45076042	No	
row_51	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	21424	-0.1422557234764099	-0.45311266	No	
row_52	CD59	CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]	22218	-0.27838027477264404	-0.47776282	No	
row_53	CD7	CD7 molecule [Source:HGNC Symbol;Acc:HGNC:1695]	22948	-0.40621185302734375	-0.49877474	No	
row_54	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	23298	-0.4421011209487915	-0.5061174	No	
row_55	CD19	CD19 molecule [Source:HGNC Symbol;Acc:HGNC:1633]	23337	-0.4421011209487915	-0.502595	No	
row_56	EPOR	erythropoietin receptor [Source:HGNC Symbol;Acc:HGNC:3416]	24140	-0.5357550382614136	-0.52473617	No	
