NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRAK4	interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol;Acc:HGNC:17967]	123	3.107916831970215	0.03625514	No	
row_1	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	189	2.864330768585205	0.07135735	No	
row_2	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	397	2.368464231491089	0.09503155	No	
row_3	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	426	2.321038007736206	0.12433719	No	
row_4	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	538	2.13993763923645	0.1483818	No	
row_5	NCF2	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]	605	2.039121389389038	0.17268232	No	
row_6	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	2065	1.1668142080307007	0.13696161	No	
row_7	TRAF6	TNF receptor associated factor 6 [Source:HGNC Symbol;Acc:HGNC:12036]	2360	1.0658562183380127	0.14060245	No	
row_8	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	3113	0.8686802387237549	0.1256785	No	
row_9	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]	3369	0.8137415051460266	0.1273917	No	
row_10	HLA-DOB	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]	3437	0.7984745502471924	0.13547018	No	
row_11	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	4525	0.575560986995697	0.10502448	No	
row_12	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	4566	0.5681203603744507	0.111040235	No	
row_13	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	4607	0.5627491474151611	0.1169859	No	
row_14	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]	4872	0.5385961532592773	0.11479494	No	
row_15	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	4986	0.5297070741653442	0.11776053	No	
row_16	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	5152	0.5132485628128052	0.11869567	No	
row_17	TLR4	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]	5225	0.5116699934005737	0.12285754	No	
row_18	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]	5713	0.4573693573474884	0.1118202	No	
row_19	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	5780	0.44831418991088867	0.115364954	No	
row_20	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	5833	0.43956637382507324	0.11928441	No	
row_21	JAK1	Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]	6435	0.3931252062320709	0.10342827	No	
row_22	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	7138	0.268533319234848	0.08241988	No	
row_23	FCGR1A	Fc gamma receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]	7367	0.23240850865840912	0.077491015	No	
row_24	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	8385	0.0715615302324295	0.04291369	No	
row_25	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	8652	0.025897709652781487	0.03396355	No	
row_26	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	8689	0.018765542656183243	0.032951362	No	
row_27	FCGR3A	Fc gamma receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619]	9844	0.0	-0.007343338	No	
row_28	FCGR3B	Fc gamma receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]	9845	0.0	-0.007343338	No	
row_29	FCGR2A	Fc gamma receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]	9853	0.0	-0.0075877598	No	
row_30	FCGR2C	Fc gamma receptor IIc (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15626]	9856	0.0	-0.0076575945	No	
row_31	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	10505	0.0	-0.030284083	No	
row_32	CR1	complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334]	11942	0.0	-0.08042549	No	
row_33	HLA-DOA	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	12183	0.0	-0.088805676	No	
row_34	IL4	interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014]	13020	0.0	-0.11799664	No	
row_35	HLA-DRB5	major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]	13204	0.0	-0.12438653	No	
row_36	HLA-DRB4	major histocompatibility complex, class II, DR beta 4 [Source:HGNC Symbol;Acc:HGNC:4952]	13206	0.0	-0.12442144	No	
row_37	HLA-DRB3	major histocompatibility complex, class II, DR beta 3 [Source:HGNC Symbol;Acc:HGNC:4951]	13218	0.0	-0.12480553	No	
row_38	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]	13373	0.0	-0.13018282	No	
row_39	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]	13595	0.0	-0.13789956	No	
row_40	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	14450	0.0	-0.16771904	No	
row_41	NCF1	neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:HGNC:7660]	16923	0.0	-0.2540349	No	
row_42	NCF4	neutrophil cytosolic factor 4 [Source:HGNC Symbol;Acc:HGNC:7662]	16924	0.0	-0.2540349	No	
row_43	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	19953	0.0	-0.35976484	No	
row_44	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	20539	-0.001029888167977333	-0.3801781	No	
row_45	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	20868	-0.050444308668375015	-0.39097285	No	
row_46	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	21495	-0.1544952094554901	-0.41081542	No	
row_47	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]	22258	-0.28369781374931335	-0.43372098	No	
row_48	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	25120	-0.7164116501808167	-0.52427244	No	
row_49	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	25546	-0.8185496926307678	-0.5284325	Yes	
row_50	TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18157]	25696	-0.8551957607269287	-0.52247715	Yes	
row_51	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	25893	-0.8952920436859131	-0.5176398	Yes	
row_52	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	26351	-1.0156596899032593	-0.52034545	Yes	
row_53	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	26352	-1.0159456729888916	-0.5070901	Yes	
row_54	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	26495	-1.0556408166885376	-0.49827507	Yes	
row_55	HLA-DPB1	major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]	26644	-1.1042827367782593	-0.48903492	Yes	
row_56	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	27070	-1.2770663499832153	-0.48721254	Yes	
row_57	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]	27135	-1.3102980852127075	-0.47235137	Yes	
row_58	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	27344	-1.4177721738815308	-0.46111608	Yes	
row_59	ELK1	ETS transcription factor ELK1 [Source:HGNC Symbol;Acc:HGNC:3321]	27683	-1.6527258157730103	-0.4513545	Yes	
row_60	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	27882	-1.8160120248794556	-0.43457407	Yes	
row_61	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	28018	-1.9828327894210815	-0.41341728	Yes	
row_62	CYBA	cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]	28152	-2.186028480529785	-0.38953948	Yes	
row_63	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	28183	-2.2374789714813232	-0.3613939	Yes	
row_64	MARCKSL1	MARCKS like 1 [Source:HGNC Symbol;Acc:HGNC:7142]	28244	-2.378997564315796	-0.3324494	Yes	
row_65	IRAK1	interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112]	28263	-2.420961856842041	-0.30149084	Yes	
row_66	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	28351	-2.6024158000946045	-0.27057412	Yes	
row_67	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	28425	-2.882441282272339	-0.23551495	Yes	
row_68	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	28632	-4.282055854797363	-0.1868386	Yes	
row_69	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	28657	-4.5363006591796875	-0.12849005	Yes	
row_70	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	28705	-4.986754894256592	-0.06506739	Yes	
row_71	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	28709	-4.997740268707275	3.497751E-5	Yes	
