NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	32	3.7153594493865967	0.051277705	Yes	
row_1	FGF1	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	34	3.710902214050293	0.10357491	Yes	
row_2	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	146	3.01094388961792	0.14216048	Yes	
row_3	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	149	3.0012102127075195	0.1844145	Yes	
row_4	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	173	2.911123752593994	0.2246649	Yes	
row_5	FGF7	fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]	449	2.2628111839294434	0.24697404	Yes	
row_6	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	568	2.09627103805542	0.27241623	Yes	
row_7	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	729	1.924369215965271	0.2939678	Yes	
row_8	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	852	1.8094639778137207	0.31522572	Yes	
row_9	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	876	1.789946436882019	0.33966497	Yes	
row_10	MITF	melanocyte inducing transcription factor [Source:HGNC Symbol;Acc:HGNC:7105]	903	1.7668571472167969	0.36367387	Yes	
row_11	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	1112	1.628165364265442	0.37937236	Yes	
row_12	FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	1146	1.6043827533721924	0.4008456	Yes	
row_13	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	1235	1.5452014207839966	0.41956392	Yes	
row_14	MDM2	MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]	1261	1.5323456525802612	0.44030058	Yes	
row_15	NRAS	NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]	1834	1.2518084049224854	0.43798256	Yes	
row_16	FGF5	fibroblast growth factor 5 [Source:HGNC Symbol;Acc:HGNC:3683]	2051	1.1721891164779663	0.44697145	Yes	
row_17	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	2169	1.1290804147720337	0.458809	Yes	
row_18	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	2856	0.9350177049636841	0.44804317	Yes	
