NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	320	2.5288710594177246	0.025020916	No	
row_1	NLRP1	NLR family pyrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14374]	692	1.9527387619018555	0.040016808	No	
row_2	NOD1	nucleotide binding oligomerization domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16390]	1151	1.603426218032837	0.0469771	No	
row_3	TRAF6	TNF receptor associated factor 6 [Source:HGNC Symbol;Acc:HGNC:12036]	2360	1.0658562183380127	0.02006632	No	
row_4	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	2601	1.0026832818984985	0.026038568	No	
row_5	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	2701	0.9747797846794128	0.03653296	No	
row_6	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	3162	0.853705108165741	0.03269433	No	
row_7	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]	3369	0.8137415051460266	0.037149407	No	
row_8	ERBIN	erbb2 interacting protein [Source:HGNC Symbol;Acc:HGNC:15842]	3470	0.791928231716156	0.04499214	No	
row_9	BIRC2	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]	3557	0.7718194127082825	0.05303576	No	
row_10	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	3857	0.7124181985855103	0.05279474	No	
row_11	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	3919	0.6972628831863403	0.060643993	No	
row_12	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	4309	0.6193062663078308	0.05592911	No	
row_13	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	4566	0.5681203603744507	0.055123948	No	
row_14	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	4607	0.5627491474151611	0.061781183	No	
row_15	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	5064	0.524250328540802	0.053367402	No	
row_16	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9580]	5997	0.42459407448768616	0.026913147	No	
row_17	MEFV	MEFV innate immuity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]	6179	0.41683125495910645	0.026560714	No	
row_18	TAB3	TGF-beta activated kinase 1 (MAP3K7) binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30681]	6419	0.3951631784439087	0.023873763	No	
row_19	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	6862	0.31636953353881836	0.012973693	No	
row_20	NLRC4	NLR family CARD domain containing 4 [Source:HGNC Symbol;Acc:HGNC:16412]	7314	0.24071992933750153	6.768816E-4	No	
row_21	TRIP6	thyroid hormone receptor interactor 6 [Source:HGNC Symbol;Acc:HGNC:12311]	7525	0.20900794863700867	-0.0036618877	No	
row_22	SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone [Source:HGNC Symbol;Acc:HGNC:16987]	7621	0.19510573148727417	-0.0041856472	No	
