NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAMK2D	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	49	3.5589053630828857	0.037734855	Yes	
row_1	SGO1	shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088]	157	2.959622859954834	0.06679892	Yes	
row_2	ANAPC4	anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]	293	2.5783371925354004	0.09065758	Yes	
row_3	RPS6KA6	ribosomal protein S6 kinase A6 [Source:HGNC Symbol;Acc:HGNC:10435]	308	2.5550637245178223	0.11848933	Yes	
row_4	FBXO5	F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]	357	2.4443531036376953	0.14390503	Yes	
row_5	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	380	2.392045259475708	0.1696501	Yes	
row_6	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	418	2.3377974033355713	0.19426933	Yes	
row_7	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	454	2.258049488067627	0.21807455	Yes	
row_8	CCNE2	cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]	565	2.099135160446167	0.23749574	Yes	
row_9	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	568	2.09627103805542	0.26066166	Yes	
row_10	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	626	2.021790027618408	0.28107882	Yes	
row_11	PPP3CA	protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]	707	1.9390170574188232	0.2997742	Yes	
row_12	CDC25C	cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]	1008	1.700040578842163	0.30812785	Yes	
row_13	SLK	STE20 like kinase [Source:HGNC Symbol;Acc:HGNC:11088]	1296	1.5152705907821655	0.31488803	Yes	
row_14	PTTG1	PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]	1369	1.4775112867355347	0.32874766	Yes	
row_15	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1582	1.3624316453933716	0.33643627	Yes	
row_16	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	1715	1.303877353668213	0.34627324	Yes	
row_17	PPP1CB	protein phosphatase 1 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9282]	1750	1.2865148782730103	0.35934457	Yes	
row_18	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	1844	1.2447906732559204	0.36989033	Yes	
row_19	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma [Source:HGNC Symbol;Acc:HGNC:9311]	1989	1.1944142580032349	0.37809435	Yes	
row_20	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	2133	1.1442962884902954	0.3857778	Yes	
row_21	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon [Source:HGNC Symbol;Acc:HGNC:9313]	2439	1.0456035137176514	0.3867026	Yes	
row_22	STAG3	stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]	2454	1.0410653352737427	0.3977526	Yes	
row_23	CCNB1	cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]	2534	1.0200674533843994	0.406297	Yes	
