NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DIAPH3	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	31	3.729060173034668	0.019749628	Yes	
row_1	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	32	3.7153594493865967	0.040510345	Yes	
row_2	FGF1	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	34	3.710902214050293	0.061211064	Yes	
row_3	CHRM2	cholinergic receptor muscarinic 2 [Source:HGNC Symbol;Acc:HGNC:1951]	35	3.706998109817505	0.08192506	Yes	
row_4	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	146	3.01094388961792	0.09489025	Yes	
row_5	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	189	2.864330768585205	0.109422006	Yes	
row_6	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	199	2.8268380165100098	0.12490206	Yes	
row_7	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	246	2.685088872909546	0.1382919	Yes	
row_8	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	355	2.4466331005096436	0.148174	Yes	
row_9	ENAH	ENAH actin regulator [Source:HGNC Symbol;Acc:HGNC:18271]	398	2.367877721786499	0.15993167	Yes	
row_10	IQGAP3	IQ motif containing GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:20669]	436	2.291438102722168	0.17143764	Yes	
row_11	FGF7	fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]	449	2.2628111839294434	0.18366076	Yes	
row_12	ROCK2	Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]	597	2.0512232780456543	0.18996507	Yes	
row_13	RDX	radixin [Source:HGNC Symbol;Acc:HGNC:9944]	774	1.883404016494751	0.19431417	Yes	
row_14	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:685]	809	1.8481284379959106	0.20344825	Yes	
row_15	PPP1R12A	protein phosphatase 1 regulatory subunit 12A [Source:HGNC Symbol;Acc:HGNC:7618]	831	1.8270362615585327	0.21292059	Yes	
row_16	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	876	1.789946436882019	0.22137871	Yes	
row_17	CFL2	cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]	879	1.7874975204467773	0.23129675	Yes	
row_18	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	899	1.7685070037841797	0.24051219	Yes	
row_19	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	930	1.7532439231872559	0.24925643	Yes	
row_20	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	959	1.734943151473999	0.25796857	Yes	
