NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRAK4	interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol;Acc:HGNC:17967]	123	3.107916831970215	0.03108875	No	
row_1	TICAM2	TIR domain containing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:21354]	255	2.6762421131134033	0.056982726	No	
row_2	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	1112	1.628165364265442	0.045603972	No	
row_3	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	1177	1.5850696563720703	0.061415214	No	
row_4	TLR6	toll like receptor 6 [Source:HGNC Symbol;Acc:HGNC:16711]	1354	1.4846954345703125	0.072169125	No	
row_5	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	1835	1.251656413078308	0.069644675	No	
row_6	TRAF6	TNF receptor associated factor 6 [Source:HGNC Symbol;Acc:HGNC:12036]	2360	1.0658562183380127	0.063466825	No	
row_7	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	2701	0.9747797846794128	0.06268283	No	
row_8	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	3113	0.8686802387237549	0.05820927	No	
row_9	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	3162	0.853705108165741	0.06625219	No	
row_10	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]	3369	0.8137415051460266	0.06831791	No	
row_11	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	3616	0.7602565288543701	0.06837662	No	
row_12	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	3857	0.7124181985855103	0.06810033	No	
row_13	TLR5	toll like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851]	4195	0.6433359980583191	0.06364727	No	
row_14	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	4285	0.6255432367324829	0.0676593	No	
row_15	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	4566	0.5681203603744507	0.064341985	No	
row_16	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	4607	0.5627491474151611	0.0693516	No	
row_17	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]	4872	0.5385961532592773	0.06625731	No	
row_18	TLR4	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]	5225	0.5116699934005737	0.059780806	No	
row_19	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]	5713	0.4573693573474884	0.047967713	No	
row_20	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	5780	0.44831418991088867	0.050765626	No	
row_21	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	5898	0.42844656109809875	0.05155485	No	
row_22	TLR8	toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]	5937	0.42459407448768616	0.05506129	No	
row_23	IFNA8	interferon alpha 8 [Source:HGNC Symbol;Acc:HGNC:5429]	5970	0.42459407448768616	0.05877743	No	
row_24	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	5981	0.42459407448768616	0.06326248	No	
row_25	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	6449	0.38968658447265625	0.05137774	No	
row_26	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	6613	0.3592188060283661	0.049771	No	
row_27	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	6787	0.3279205560684204	0.047458384	No	
row_28	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	6862	0.31636953353881836	0.04847433	No	
row_29	IFNAR2	interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433]	7098	0.27513840794563293	0.0433938	No	
row_30	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	7868	0.15330815315246582	0.018262576	No	
row_31	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	7901	0.14681166410446167	0.018815804	No	
row_32	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	8015	0.13040301203727722	0.01635122	No	
