NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	254	-0.53286695	-1.6936105	0.0	0.12764621	0.098	3671	tags=28%, list=13%, signal=31%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	132	-0.5651303	-1.6647338	0.0	0.10119012	0.153	5183	tags=49%, list=18%, signal=60%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	Details ...	34	-0.6679764	-1.5739151	0.013916501	0.21824305	0.414	4094	tags=53%, list=14%, signal=62%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	Details ...	22	-0.7154056	-1.5568615	0.01192843	0.19782701	0.484	6171	tags=77%, list=21%, signal=98%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	130	-0.5248516	-1.555652	0.0	0.15996628	0.486	5752	tags=52%, list=20%, signal=65%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	Details ...	39	-0.6369459	-1.5518415	0.012474013	0.13926756	0.499	2360	tags=26%, list=8%, signal=28%	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	61	-0.58119607	-1.5488456	0.0	0.12339032	0.513	3166	tags=34%, list=11%, signal=39%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	Details ...	87	-0.5489626	-1.5352995	0.0019569471	0.12637995	0.569	3502	tags=32%, list=12%, signal=37%	
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY	Details ...	76	-0.55534065	-1.5342159	0.0	0.113472104	0.573	3299	tags=37%, list=11%, signal=42%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	99	-0.53213745	-1.5235922	0.0039138943	0.114846975	0.614	3684	tags=34%, list=13%, signal=39%	
