NAME	TITLE	SCORE	
SOWAHB	sosondowah ankyrin repeat domain family member B [Source:HGNC Symbol;Acc:HGNC:32958]	4.5154486	
SLC16A12	solute carrier family 16 member 12 [Source:HGNC Symbol;Acc:HGNC:23094]	4.4388676	
GABRR2	gamma-aminobutyric acid type A receptor subunit rho2 [Source:HGNC Symbol;Acc:HGNC:4091]	4.35775	
TNFSF4	TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934]	4.308008	
MATN2	matrilin 2 [Source:HGNC Symbol;Acc:HGNC:6908]	4.261276	
KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	4.2461677	
GPRC5A	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]	4.23426	
CCDC80	coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]	4.2331605	
WFIKKN2	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30916]	4.2135105	
GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]	4.158946	
PCDHA3	protocadherin alpha 3 [Source:HGNC Symbol;Acc:HGNC:8669]	4.1482058	
LZTS1	leucine zipper tumor suppressor 1 [Source:HGNC Symbol;Acc:HGNC:13861]	4.1205807	
XRCC4	X-ray repair cross complementing 4 [Source:HGNC Symbol;Acc:HGNC:12831]	4.1190042	
CPA4	carboxypeptidase A4 [Source:HGNC Symbol;Acc:HGNC:15740]	4.07306	
NLRP10	NLR family pyrin domain containing 10 [Source:HGNC Symbol;Acc:HGNC:21464]	4.0496345	
LRRC2	leucine rich repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:14676]	4.048953	
STXBP6	syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]	4.0191483	
CXCL14	C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640]	4.0072427	
SCN9A	sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]	3.991895	
PTPRB	protein tyrosine phosphatase receptor type B [Source:HGNC Symbol;Acc:HGNC:9665]	3.982125	
ARSJ	arylsulfatase family member J [Source:HGNC Symbol;Acc:HGNC:26286]	3.9636319	
GALNT15	polypeptide N-acetylgalactosaminyltransferase 15 [Source:HGNC Symbol;Acc:HGNC:21531]	3.8889682	
CENPI	centromere protein I [Source:HGNC Symbol;Acc:HGNC:3968]	3.8680036	
NPPB	natriuretic peptide B [Source:HGNC Symbol;Acc:HGNC:7940]	3.8053877	
KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	3.7873323	
ATP8B1	ATPase phospholipid transporting 8B1 [Source:HGNC Symbol;Acc:HGNC:3706]	3.7802134	
CAVIN2	caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]	3.7789056	
PGM5	phosphoglucomutase 5 [Source:HGNC Symbol;Acc:HGNC:8908]	3.7712848	
ZNF763	zinc finger protein 763 [Source:HGNC Symbol;Acc:HGNC:27614]	3.7645366	
MYBL1	MYB proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:7547]	3.7629695	
SRGAP2C	SLIT-ROBO Rho GTPase activating protein 2C [Source:HGNC Symbol;Acc:HGNC:30584]	3.7499719	
DIAPH3	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	3.7290602	
EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	3.7153594	
DYSF	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	3.7150948	
FGF1	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	3.7109022	
CHRM2	cholinergic receptor muscarinic 2 [Source:HGNC Symbol;Acc:HGNC:1951]	3.706998	
ZNF367	zinc finger protein 367 [Source:HGNC Symbol;Acc:HGNC:18320]	3.6852536	
SH2D5	SH2 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28819]	3.6832268	
ELOVL2	ELOVL fatty acid elongase 2 [Source:HGNC Symbol;Acc:HGNC:14416]	3.675022	
OSR1	odd-skipped related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8111]	3.6675732	
NEGR1	neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]	3.6405385	
HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]	3.6314354	
NUF2	NUF2 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:14621]	3.6223695	
KCNE1	potassium voltage-gated channel subfamily E regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:6240]	3.6190133	
TMEM47	transmembrane protein 47 [Source:HGNC Symbol;Acc:HGNC:18515]	3.60197	
