NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	172	3.0234670639038086	0.018320957	Yes	
row_1	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	201	2.9427661895751953	0.0396869	Yes	
row_2	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	220	2.886840581893921	0.060886797	Yes	
row_3	ANAPC4	anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]	239	2.848090171813965	0.081796005	Yes	
row_4	RBL1	RB transcriptional corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:9893]	255	2.816955327987671	0.1025477	Yes	
row_5	ORC1	origin recognition complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:8487]	277	2.767673969268799	0.122777596	Yes	
row_6	CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	329	2.664999485015869	0.14147677	Yes	
row_7	CCNE2	cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]	401	2.5366106033325195	0.15870582	Yes	
row_8	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	434	2.4736180305480957	0.17645094	Yes	
row_9	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	534	2.3209850788116455	0.19135264	Yes	
row_10	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	548	2.3040530681610107	0.20830739	Yes	
row_11	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	553	2.300215244293213	0.2254615	Yes	
row_12	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	649	2.1735329627990723	0.23935845	Yes	
row_13	CDC7	cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]	698	2.1253669261932373	0.2540855	Yes	
row_14	SKP2	S-phase kinase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10901]	813	2.030529022216797	0.26642805	Yes	
row_15	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	859	1.9881409406661987	0.28020173	Yes	
row_16	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	863	1.986476182937622	0.2950276	Yes	
row_17	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]	881	1.9710739850997925	0.30938306	Yes	
row_18	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	939	1.9218639135360718	0.32235536	Yes	
row_19	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	996	1.878822922706604	0.33503014	Yes	
row_20	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	1099	1.7868314981460571	0.3458487	Yes	
row_21	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	1163	1.7453293800354004	0.3573446	Yes	
row_22	ORC3	origin recognition complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:8489]	1179	1.7367618083953857	0.369993	Yes	
row_23	ORC6	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	1184	1.7352523803710938	0.38290894	Yes	
row_24	MCM3	minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]	1238	1.709268569946289	0.3943878	Yes	
row_25	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	1521	1.559366226196289	0.39893705	Yes	
row_26	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	1540	1.5512375831604004	0.41011766	Yes	
row_27	WEE1	WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]	1664	1.4985129833221436	0.41824102	Yes	
row_28	CDC14B	cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]	1670	1.4941997528076172	0.42932332	Yes	
row_29	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	1770	1.450992465019226	0.43769857	Yes	
row_30	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1776	1.448396921157837	0.44843727	Yes	
row_31	PTTG1	PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]	1793	1.4382338523864746	0.45882085	Yes	
row_32	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	1867	1.4102743864059448	0.46754977	Yes	
row_33	MDM2	MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]	1963	1.3724699020385742	0.47543737	Yes	
row_34	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	2144	1.301682472229004	0.48063925	Yes	
row_35	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	2257	1.2633943557739258	0.48727766	Yes	
row_36	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	2287	1.2521874904632568	0.49593604	Yes	
row_37	CDK7	cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]	2462	1.1858874559402466	0.50042135	Yes	
row_38	SMC1A	structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]	2465	1.185316801071167	0.5092625	Yes	
row_39	ORC4	origin recognition complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:8490]	2741	1.1040786504745483	0.5105738	Yes	
row_40	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	2748	1.1016013622283936	0.5186856	Yes	
row_41	STAG1	stromal antigen 1 [Source:HGNC Symbol;Acc:HGNC:11354]	2871	1.067423701286316	0.52360034	Yes	
row_42	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	2992	1.041387677192688	0.52837056	Yes	
row_43	CCNB1	cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]	3000	1.0395138263702393	0.53599125	Yes	
row_44	ATR	ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]	3079	1.0184403657913208	0.541654	Yes	
row_45	DBF4	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]	3154	1.0007747411727905	0.5472856	Yes	
row_46	PRKDC	protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]	3175	0.9970885515213013	0.55425847	Yes	
row_47	TFDP1	transcription factor Dp-1 [Source:HGNC Symbol;Acc:HGNC:11749]	3432	0.9418102502822876	0.55483407	Yes	
row_48	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	3526	0.922408401966095	0.55939615	Yes	
row_49	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	3768	0.8721446394920349	0.5598294	Yes	
row_50	CDC45	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	3789	0.8673902750015259	0.56582934	Yes	
row_51	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	3801	0.8648971915245056	0.57203865	Yes	
row_52	CCNH	cyclin H [Source:HGNC Symbol;Acc:HGNC:1594]	3837	0.8579655885696411	0.5775876	Yes	
row_53	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	4216	0.7972284555435181	0.57398593	Yes	
row_54	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	4344	0.7716178894042969	0.57655495	Yes	
row_55	CDC23	cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]	4616	0.7223343253135681	0.5751039	Yes	
row_56	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	4643	0.7176116704940796	0.5798281	Yes	
row_57	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	4780	0.6929139494895935	0.58157855	Yes	
row_58	CHEK1	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]	4786	0.6908831000328064	0.5866346	Yes	
row_59	CDC16	cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]	4823	0.6839242577552795	0.59085256	Yes	
row_60	CDC25C	cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]	4828	0.6830891966819763	0.5958755	Yes	
row_61	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	4925	0.664690375328064	0.59842825	Yes	
row_62	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	5144	0.6251987218856812	0.597592	Yes	
row_63	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	5292	0.5957229733467102	0.59833455	Yes	
row_64	STAG2	stromal antigen 2 [Source:HGNC Symbol;Acc:HGNC:11355]	5308	0.593009889125824	0.60240287	Yes	
row_65	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	5348	0.5854334831237793	0.60580593	Yes	
row_66	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	5363	0.5823244452476501	0.6098195	Yes	
row_67	TFDP2	transcription factor Dp-2 [Source:HGNC Symbol;Acc:HGNC:11751]	5490	0.5641306042671204	0.61085737	Yes	
row_68	E2F5	E2F transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3119]	6510	0.4910027086734772	0.58870924	No	
row_69	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]	6877	0.47772952914237976	0.58301497	No	
row_70	ANAPC7	anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]	6907	0.4732305705547333	0.58582985	No	
row_71	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	6909	0.47318148612976074	0.58935416	No	
row_72	RBL2	RB transcriptional corepressor like 2 [Source:HGNC Symbol;Acc:HGNC:9894]	7121	0.43585118651390076	0.58727497	No	
row_73	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]	7176	0.4264257252216339	0.589105	No	
row_74	SMC1B	structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112]	7248	0.42356348037719727	0.5904826	No	
