NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	32	3.7153594493865967	0.04886502	Yes	
row_1	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	75	3.3568074703216553	0.092557035	Yes	
row_2	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	146	3.01094388961792	0.13061784	Yes	
row_3	LPAR1	lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	235	2.7143847942352295	0.16406013	Yes	
row_4	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	380	2.392045259475708	0.19120944	Yes	
row_5	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	576	2.0849947929382324	0.2124461	Yes	
row_6	DRD1	dopamine receptor D1 [Source:HGNC Symbol;Acc:HGNC:3020]	747	1.9074654579162598	0.2321679	Yes	
row_7	TUBB6	tubulin beta 6 class V [Source:HGNC Symbol;Acc:HGNC:20776]	1185	1.5817590951919556	0.23817946	Yes	
row_8	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	1235	1.5452014207839966	0.25725523	Yes	
row_9	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	1417	1.4516761302947998	0.27046093	Yes	
row_10	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	1571	1.3656243085861206	0.28348726	Yes	
row_11	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]	1753	1.2854950428009033	0.29445732	Yes	
row_12	NRAS	NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]	1834	1.2518084049224854	0.30850294	Yes	
row_13	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	1844	1.2447906732559204	0.32493478	Yes	
row_14	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	1965	1.2040904760360718	0.33694094	Yes	
