NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	8	4.408353328704834	0.025652174	No	
row_1	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	43	3.793766498565674	0.047039792	No	
row_2	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	481	2.401440143585205	0.050031878	No	
row_3	ROCK2	Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]	730	2.0905802249908447	0.05599819	No	
row_4	GNB4	G protein subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:20731]	873	1.9769173860549927	0.0639885	No	
row_5	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	1035	1.8449761867523193	0.07072268	No	
row_6	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	1241	1.7069438695907593	0.075530425	No	
row_7	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	1257	1.6998714208602905	0.085119516	No	
row_8	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	1274	1.6877979040145874	0.09461241	No	
row_9	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	1442	1.5959283113479614	0.09973361	No	
row_10	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	1450	1.5919952392578125	0.10889307	No	
row_11	GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	1538	1.5525758266448975	0.115790665	No	
row_12	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	1821	1.42661452293396	0.11699975	No	
row_13	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	2079	1.3214818239212036	0.11822681	No	
