NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC8A1	solute carrier family 8 member A1 [Source:HGNC Symbol;Acc:HGNC:11068]	86	3.408921241760254	0.04269007	Yes	
row_1	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	253	2.81752872467041	0.07557004	Yes	
row_2	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]	339	2.654684543609619	0.10835817	Yes	
row_3	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	410	2.517261505126953	0.13971744	Yes	
row_4	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	553	2.300215244293213	0.1663964	Yes	
row_5	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	594	2.2562668323516846	0.1950803	Yes	
row_6	TNNT2	troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]	608	2.235063076019287	0.22416893	Yes	
row_7	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	863	1.986476182937622	0.24388179	Yes	
row_8	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	896	1.9611711502075195	0.26888424	Yes	
row_9	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1 [Source:HGNC Symbol;Acc:HGNC:1399]	1168	1.7419873476028442	0.28494856	Yes	
row_10	SGCD	sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807]	1451	1.5917707681655884	0.29875714	Yes	
row_11	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	1631	1.5119880437850952	0.31412432	Yes	
row_12	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	1651	1.5028630495071411	0.3334238	Yes	
row_13	TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	1879	1.4049065113067627	0.34616587	Yes	
row_14	DES	desmin [Source:HGNC Symbol;Acc:HGNC:2770]	2176	1.2907260656356812	0.35565752	Yes	
row_15	PRKACB	protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]	2329	1.2361857891082764	0.3680784	Yes	
row_16	ITGA10	integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]	2926	1.0568569898605347	0.36689368	Yes	
