NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	426	2.321038007736206	0.004825834	No	
row_1	LEPR	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	647	1.9963451623916626	0.014103388	No	
row_2	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	1112	1.628165364265442	0.011704791	No	
row_3	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	1156	1.6010562181472778	0.023818042	No	
row_4	SOCS5	suppressor of cytokine signaling 5 [Source:HGNC Symbol;Acc:HGNC:16852]	1190	1.5767059326171875	0.03607434	No	
row_5	SOCS4	suppressor of cytokine signaling 4 [Source:HGNC Symbol;Acc:HGNC:19392]	1480	1.4152870178222656	0.03799304	No	
row_6	IL11RA	interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]	1714	1.304063320159912	0.040926628	No	
row_7	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]	1753	1.2854950428009033	0.05053072	No	
row_8	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	1865	1.2330163717269897	0.05713212	No	
row_9	STAM2	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]	1875	1.2301149368286133	0.06728065	No	
row_10	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	2058	1.171226978302002	0.0708702	No	
row_11	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	2143	1.1410818099975586	0.07763506	No	
row_12	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	2435	1.0475670099258423	0.0763558	No	
row_13	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	2588	1.0064958333969116	0.079594634	No	
row_14	IL20RA	interleukin 20 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6003]	2742	0.9628900289535522	0.082427524	No	
row_15	STAM	signal transducing adaptor molecule [Source:HGNC Symbol;Acc:HGNC:11357]	3091	0.8756127953529358	0.077689566	No	
row_16	IL12RB2	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	3106	0.8701187968254089	0.084600784	No	
row_17	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	3113	0.8686802387237549	0.0917799	No	
row_18	GHR	growth hormone receptor [Source:HGNC Symbol;Acc:HGNC:4263]	3199	0.8457192778587341	0.09599731	No	
row_19	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	3616	0.7602565288543701	0.0878969	No	
row_20	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	3839	0.7162764072418213	0.08621581	No	
row_21	PIAS1	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]	3861	0.7115407586097717	0.091533	No	
row_22	IFNLR1	interferon lambda receptor 1 [Source:HGNC Symbol;Acc:HGNC:18584]	4200	0.6422013640403748	0.085159756	No	
row_23	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]	4872	0.5385961532592773	0.06624433	No	
row_24	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	4986	0.5297070741653442	0.06679316	No	
row_25	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	5360	0.49219074845314026	0.05791827	No	
row_26	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	5436	0.4862547516822815	0.059428155	No	
row_27	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]	5713	0.4573693573474884	0.05365378	No	
row_28	TSLP	thymic stromal lymphopoietin [Source:HGNC Symbol;Acc:HGNC:30743]	5736	0.4550314247608185	0.05675401	No	
row_29	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	5898	0.42844656109809875	0.054760642	No	
row_30	IFNA8	interferon alpha 8 [Source:HGNC Symbol;Acc:HGNC:5429]	5970	0.42459407448768616	0.055886097	No	
row_31	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	5981	0.42459407448768616	0.059147634	No	
row_32	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	5988	0.42459407448768616	0.06254923	No	
row_33	IL9R	interleukin 9 receptor [Source:HGNC Symbol;Acc:HGNC:6030]	6056	0.41998815536499023	0.063775584	No	
row_34	STAT5B	signal transducer and activator of transcription 5B [Source:HGNC Symbol;Acc:HGNC:11367]	6372	0.4015443027019501	0.056160655	No	
row_35	SPRY1	sprouty RTK signaling antagonist 1 [Source:HGNC Symbol;Acc:HGNC:11269]	6403	0.39766982197761536	0.05849281	No	
row_36	JAK1	Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]	6435	0.3931252062320709	0.06075129	No	
row_37	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	6464	0.38706663250923157	0.063063286	No	
row_38	IFNAR2	interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433]	7098	0.27513840794563293	0.043237492	No	
row_39	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	7150	0.26693928241729736	0.043722246	No	
row_40	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	7458	0.21757856011390686	0.034822598	No	
row_41	IL10RB	interleukin 10 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:5965]	7527	0.20866639912128448	0.034216367	No	
row_42	CNTF	ciliary neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:2169]	7709	0.17952972650527954	0.029405294	No	
row_43	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	7901	0.14681166410446167	0.023965737	No	
row_44	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	8015	0.13040301203727722	0.02111798	No	
row_45	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	8400	0.06888992339372635	0.008257185	No	
row_46	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	8621	0.0317072831094265	8.230052E-4	No	
row_47	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	8689	0.018765542656183243	-0.001363555	No	
row_48	CRLF2	cytokine receptor like factor 2 [Source:HGNC Symbol;Acc:HGNC:14281]	9512	0.0	-0.030148093	No	
row_49	CSF2RB	colony stimulating factor 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:2436]	10129	0.0	-0.051718988	No	
row_50	CSF2RA	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	10130	0.0	-0.051718988	No	
row_51	IFNW1	interferon omega 1 [Source:HGNC Symbol;Acc:HGNC:5448]	11054	0.0	-0.08404031	No	
row_52	CSH1	chorionic somatomammotropin hormone 1 [Source:HGNC Symbol;Acc:HGNC:2440]	11264	0.0	-0.091359004	No	
row_53	IFNA5	interferon alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]	11328	0.0	-0.09356512	No	
row_54	IFNA4	interferon alpha 4 [Source:HGNC Symbol;Acc:HGNC:5425]	11329	0.0	-0.09356512	No	
row_55	IFNA7	interferon alpha 7 [Source:HGNC Symbol;Acc:HGNC:5428]	11330	0.0	-0.09356512	No	
row_56	IFNA6	interferon alpha 6 [Source:HGNC Symbol;Acc:HGNC:5427]	11331	0.0	-0.09356512	No	
row_57	IFNA1	interferon alpha 1 [Source:HGNC Symbol;Acc:HGNC:5417]	11332	0.0	-0.09356512	No	
row_58	IFNA2	interferon alpha 2 [Source:HGNC Symbol;Acc:HGNC:5423]	11334	0.0	-0.09360014	No	
row_59	IFNB1	interferon beta 1 [Source:HGNC Symbol;Acc:HGNC:5434]	11356	0.0	-0.09433551	No	
row_60	IFNL2	interferon lambda 2 [Source:HGNC Symbol;Acc:HGNC:18364]	11474	0.0	-0.09843258	No	
row_61	IFNL1	interferon lambda 1 [Source:HGNC Symbol;Acc:HGNC:18363]	11476	0.0	-0.098467596	No	
row_62	IFNL3	interferon lambda 3 [Source:HGNC Symbol;Acc:HGNC:18365]	11487	0.0	-0.09881777	No	
row_63	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	11788	0.0	-0.10932308	No	
row_64	IL23R	interleukin 23 receptor [Source:HGNC Symbol;Acc:HGNC:19100]	12004	0.0	-0.11685188	No	
row_65	GH2	growth hormone 2 [Source:HGNC Symbol;Acc:HGNC:4262]	12666	0.0	-0.13999857	No	
row_66	GH1	growth hormone 1 [Source:HGNC Symbol;Acc:HGNC:4261]	12667	0.0	-0.13999857	No	
row_67	IL5RA	interleukin 5 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6017]	12725	0.0	-0.14199458	No	
row_68	IL2	interleukin 2 [Source:HGNC Symbol;Acc:HGNC:6001]	13019	0.0	-0.15225476	No	
row_69	IL4	interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014]	13020	0.0	-0.15225476	No	
row_70	IL3	interleukin 3 [Source:HGNC Symbol;Acc:HGNC:6011]	13021	0.0	-0.15225476	No	
row_71	IL5	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]	13022	0.0	-0.15225476	No	
row_72	IL9	interleukin 9 [Source:HGNC Symbol;Acc:HGNC:6029]	13024	0.0	-0.15228978	No	
row_73	IFNA13	interferon alpha 13 [Source:HGNC Symbol;Acc:HGNC:5419]	13254	0.0	-0.16030882	No	
row_74	IFNA14	interferon alpha 14 [Source:HGNC Symbol;Acc:HGNC:5420]	13256	0.0	-0.16034384	No	
row_75	IFNA16	interferon alpha 16 [Source:HGNC Symbol;Acc:HGNC:5421]	13257	0.0	-0.16034384	No	
row_76	IFNA17	interferon alpha 17 [Source:HGNC Symbol;Acc:HGNC:5422]	13258	0.0	-0.16034384	No	
row_77	IFNA10	interferon alpha 10 [Source:HGNC Symbol;Acc:HGNC:5418]	13262	0.0	-0.1604489	No	
row_78	IFNA21	interferon alpha 21 [Source:HGNC Symbol;Acc:HGNC:5424]	13264	0.0	-0.16048391	No	
row_79	LEP	leptin [Source:HGNC Symbol;Acc:HGNC:6553]	13443	0.0	-0.16671707	No	
row_80	OSM	oncostatin M [Source:HGNC Symbol;Acc:HGNC:8506]	13980	0.0	-0.18548654	No	
row_81	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	14450	0.0	-0.20190984	No	
row_82	IFNK	interferon kappa [Source:HGNC Symbol;Acc:HGNC:21714]	14453	0.0	-0.20197988	No	
row_83	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	14646	0.0	-0.20870326	No	
row_84	IL21	interleukin 21 [Source:HGNC Symbol;Acc:HGNC:6005]	15285	0.0	-0.23104455	No	
row_85	IL22	interleukin 22 [Source:HGNC Symbol;Acc:HGNC:14900]	15286	0.0	-0.23104455	No	
row_86	IL26	interleukin 26 [Source:HGNC Symbol;Acc:HGNC:17119]	15289	0.0	-0.23111458	No	
row_87	IL13	interleukin 13 [Source:HGNC Symbol;Acc:HGNC:5973]	15293	0.0	-0.23121963	No	
row_88	IL22RA2	interleukin 22 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:14901]	15589	0.0	-0.24154986	No	
row_89	IL22RA1	interleukin 22 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:13700]	15594	0.0	-0.24168994	No	
row_90	CBLC	Cbl proto-oncogene C [Source:HGNC Symbol;Acc:HGNC:15961]	16812	0.0	-0.28430644	No	
row_91	CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	19775	0.0	-0.38802883	No	
row_92	IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	20567	-0.005964069161564112	-0.4156771	No	
