NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	201	2.9427661895751953	0.0383245	Yes	
row_1	CCNE2	cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]	401	2.5366106033325195	0.07070792	Yes	
row_2	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	449	2.4451394081115723	0.10558954	Yes	
row_3	GTSE1	G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	520	2.3458595275878906	0.13842435	Yes	
row_4	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	548	2.3040530681610107	0.17173089	Yes	
row_5	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	649	2.1735329627990723	0.2012641	Yes	
row_6	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	939	1.9218639135360718	0.22230043	Yes	
row_7	SESN1	sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595]	1092	1.7941478490829468	0.24492055	Yes	
row_8	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	1099	1.7868314981460571	0.27112848	Yes	
row_9	ZMAT3	zinc finger matrin-type 3 [Source:HGNC Symbol;Acc:HGNC:29983]	1307	1.6707977056503296	0.2905367	Yes	
row_10	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	1343	1.652363657951355	0.31402683	Yes	
row_11	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	1579	1.5335811376571655	0.330702	Yes	
row_12	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	1844	1.419371247291565	0.34495825	Yes	
row_13	SESN3	sestrin 3 [Source:HGNC Symbol;Acc:HGNC:23060]	1852	1.4153597354888916	0.36566082	Yes	
row_14	MDM2	MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]	1963	1.3724699020385742	0.3831234	Yes	
