NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	75	3.3568074703216553	0.033031654	Yes	
row_1	IRAG1	inositol 1,4,5-triphosphate receptor associated 1 [Source:HGNC Symbol;Acc:HGNC:7237]	220	2.7616562843322754	0.057328977	Yes	
row_2	PRKCE	protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	223	2.7565629482269287	0.08653793	Yes	
row_3	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	246	2.685088872909546	0.114288315	Yes	
row_4	CALD1	caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441]	303	2.5615763664245605	0.13953784	Yes	
row_5	ACTG2	actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]	387	2.3779330253601074	0.1618926	Yes	
row_6	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	576	2.0849947929382324	0.17746407	Yes	
row_7	ROCK2	Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]	597	2.0512232780456543	0.19855177	Yes	
row_8	CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	667	1.9788684844970703	0.21715745	Yes	
row_9	ADRA1B	adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]	766	1.8915932178497314	0.23382199	Yes	
row_10	PPP1R12A	protein phosphatase 1 regulatory subunit 12A [Source:HGNC Symbol;Acc:HGNC:7618]	831	1.8270362615585327	0.25098982	Yes	
row_11	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	876	1.789946436882019	0.2684631	Yes	
row_12	RAMP1	receptor activity modifying protein 1 [Source:HGNC Symbol;Acc:HGNC:9843]	916	1.7609854936599731	0.28580362	Yes	
row_13	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	930	1.7532439231872559	0.3039711	Yes	
